Exposure,Model,OR per (x) μg/m³,95% CI,OR per IQR,p-value,Quarter 2,Quarter 3,Quarter 4
PM₂.₅ local,M0,1.10 (1),1.01 - 1.20,1.08,0.03,1.15 (0.98 - 1.35),1.26 (1.08 - 1.48),1.23 (1.05 - 1.45)
PM₂.₅ local,M1,1.05 (1),0.96 - 1.16,1.04,0.30,1.05 (0.89 - 1.25),1.20 (1.01 - 1.42),1.11 (0.93 - 1.32)
PM₂.₅ local,M2,1.05 (1),0.94 - 1.16,1.04,0.41,1.06 (0.89 - 1.26),1.19 (1.00 - 1.43),1.11 (0.92 - 1.34)
PM₁₀ local,M0,1.04 (1),1.00 - 1.08,1.07,0.07,1.10 (0.94 - 1.29),1.15 (0.98 - 1.35),1.19 (1.02 - 1.40)
PM₁₀ local,M1,1.01 (1),0.97 - 1.06,1.02,0.62,1.02 (0.86 - 1.21),1.10 (0.93 - 1.31),1.07 (0.90 - 1.27)
PM₁₀ local,M2,1.00 (1),0.96 - 1.05,1.01,0.88,1.02 (0.85 - 1.21),1.07 (0.89 - 1.28),1.06 (0.87 - 1.28)
NOₓ local,M0,1.04 (10),0.99 - 1.08,1.06,0.10,1.11 (0.95 - 1.30),1.19 (1.02 - 1.40),1.19 (1.01 - 1.40)
NOₓ local,M1,1.01 (10),0.96 - 1.06,1.02,0.69,1.06 (0.89 - 1.25),1.13 (0.95 - 1.34),1.07 (0.90 - 1.28)
NOₓ local,M2,1.00 (10),0.95 - 1.05,1.00,0.94,1.05 (0.88 - 1.24),1.11 (0.93 - 1.33),1.05 (0.87 - 1.28)
BC local,M0,1.00 (0.1),0.95 - 1.05,1.00,0.93,1.05 (0.89 - 1.23),1.04 (0.88 - 1.21),0.99 (0.85 - 1.16)
BC local,M1,0.95 (0.1),0.90 - 1.01,0.93,0.10,1.00 (0.84 - 1.18),0.96 (0.81 - 1.14),0.86 (0.72 - 1.03)
BC local,M2,0.93 (0.1),0.87 - 0.99,0.91,0.03,0.96 (0.81 - 1.15),0.91 (0.76 - 1.09),0.82 (0.68 - 1.00)
PM₂.₅ exhaust,M0,1.02 (0.1),1.00 - 1.03,1.07,0.04,1.06 (0.90 - 1.25),1.18 (1.01 - 1.39),1.19 (1.02 - 1.40)
PM₂.₅ exhaust,M1,1.01 (0.1),0.99 - 1.03,1.04,0.32,0.98 (0.83 - 1.16),1.13 (0.95 - 1.34),1.08 (0.90 - 1.29)
PM₂.₅ exhaust,M2,1.01 (0.1),0.99 - 1.03,1.03,0.46,0.98 (0.82 - 1.17),1.12 (0.94 - 1.35),1.07 (0.88 - 1.30)
PM₂.₅ other,M0,1.07 (0.1),1.03 - 1.11,1.13,< 0.01,1.25 (1.06 - 1.46),1.25 (1.07 - 1.47),1.24 (1.06 - 1.46)
PM₂.₅ other,M1,1.05 (0.1),1.01 - 1.10,1.10,0.03,1.27 (1.07 - 1.50),1.22 (1.03 - 1.45),1.17 (0.98 - 1.40)
PM₂.₅ other,M2,1.05 (0.1),1.01 - 1.10,1.10,0.03,1.29 (1.08 - 1.53),1.24 (1.03 - 1.49),1.17 (0.97 - 1.41)
PM₁₀ wear,M0,1.05 (1),0.99 - 1.11,1.07,0.11,1.08 (0.92 - 1.26),1.15 (0.98 - 1.35),1.16 (0.99 - 1.36)
PM₁₀ wear,M1,1.00 (1),0.94 - 1.07,1.00,0.91,1.00 (0.85 - 1.19),1.05 (0.89 - 1.25),1.04 (0.87 - 1.24)
PM₁₀ wear,M2,0.99 (1),0.92 - 1.06,0.99,0.76,0.98 (0.83 - 1.17),1.02 (0.85 - 1.23),1.01 (0.83 - 1.22)
