Time                        /s,Temperature                        /K,Pressure                        /Mpa,Resistivity                        /(                           Ω                          *m),Saturation                        /%
0,275.0,0,3.691,0
100,275.6,2.2,3.989,0
200,275.4,4.9,4.493,0
300,275.7,9.1,3.021,10.06
400,275.9,10.1,3.493,21.80
500,276.8,10.2,3.563,33.69
600,277.1,10.4,3.634,42.70
700,277.4,10.3,3.787,55.54
800,277.6,10.4,4.876,61.98
900,278.2,10.6,5.948,73.32
1000,278.9,10.7,6.763,82.17
