"Run
","Variables
X                              1                            Catalyst concentration (mol/L)","Variables
X                              2                            Reaction time (h)","Variables
X                              3                            Biomass concentration (wt%)","Variables
X                              4                            Temperature (c)","Responses
Y                           1                          ML yield (%)","Responses
Y                           2                          AL yield (%)","Responses
Y                           3                          Residue production (%)"
1,0.01,0.5,2.5,180,0.0,0.0,51.8
2,0.01,0.5,2.5,200,6.4,1.1,38.5
3,0.01,0.5,12.0,180,0.0,0.0,72.7
4,0.01,0.5,12.0,200,0.0,0.0,72.2
5,0.01,7,2.5,180,7.7,0.0,38.5
6,0.01,7,2.5,200,33.8,2.2,28.1
7,0.01,7,12.0,180,0.0,0.0,66.7
8,0.01,7,12.0,200,0.0,1.1,61.5
9,0.1,0.5,2.5,180,6.0,0.0,52.4
10,0.1,0.5,2.5,200,22.8,1.8,47.2
11,0.1,0.5,12.0,180,12.3,0.0,31.1
12,0.1,0.5,12.0,200,21.5,0.0,27.1
13,0.1,7,2.5,180,44.3,2.5,6.6
14,0.1,7,2.5,200,38.8,10.5,6.2
15,0.1,7,12.0,180,36.4,9.2,26.6
16,0.1,7,12.0,200,28.5,12.9,24.9
17,0.01,3.75,7.2,190,9.3,0.0,53.4
18,0.1,3.75,7.2,190,38.8,7.0,9.0
19,0.055,0.5,7.2,190,18.1,2.2,27.2
20,0.055,7,7.2,190,47.2,7.4,23.5
21,0.055,3.75,2.5,190,46.8,2.8,3.1
22,0.055,3.75,12.0,190,35.6,2.5,35.0
23,0.055,3.75,7.2,180,28.7,2.7,53.6
24,0.055,3.75,7.2,200,51.8,8.8,23.6
25,0.055,3.75,7.2,190,43.0,5.2,22.3
26,0.055,3.75,7.2,190,44.6,5.1,19.4
27,0.055,3.75,7.2,190,42.3,5.6,24.6
28,0.055,3.75,7.2,190,50.5,6.9,21.5
29,0.055,3.75,7.2,190,45.0,5.1,22.7
30,0.055,3.75,7.2,190,48.0,5.4,22.2
31,0,3.75,2.5,200,0,0,0.3
