Biomass fuel,Ash (wt. %),High heating                        value (MJ/kg),Volatile matter                        (wt. %),Fixed carbon                        (wt. %)
Rice husk,22.35,15.70,62.92,17.10
Cotton straw,8.76,18.79,74.26,20.95
Wheat straw,7.10,18.10,83.23,11.17
Hybrid poplar,3.80,20.13,85.892,13.50
Rice straw,21.49,15.96,66.8,14.10
Alfalfa stems,6.38,19.78,79.10,16.92
Cotton residue,7.72,17.10,73.90,21.60
Switch grass,10.25,19.17,77.70,15.45
Cotton stalk,18.30,16.94,63.10,20.13
Sugar cane bagasse,4.4,19.84,84.77,14.26
