Nr,Nr.,Rev,HHI,Beer,Wine,Spirits
products,wholes.,(mi.),(rev.),(share),(sha                           <                          re),(share)
<2,65,0.24,0.81,0.15,0.71,0.14
2–5,39,0.68,0.24,0.25,0.55,0.20
6–10,15,4.10,0.06,0.39,0.53,0.09
11–30,32,9.46,0.02,0.14,0.74,0.12
>                          30,17,33.05,0.00,0.18,0.60,0.22
Total,168,5.76,0.38,0.19,0.65,0.15
Nr,Domest.,Euro,USD,Nr.,High,Low
products,(share),(share),(share),suppliers,price,price
<                          2,0.06,0.60,0.09,0.77,0.48,0.09
2–5,0.18,0.47,0.06,1.80,0.39,0.08
6–10,0.07,0.46,0.14,3.97,0.24,0.17
11–30,0.08,0.53,0.07,7.24,0.30,0.21
>                          30,0.13,0.42,0.07,20.30,0.23,0.21
Total,0.10,0.52,0.08,4.50,0.38,0.15
Nr,Cash/assets,Assets,Stand-,Beverage,Brewer,Nr.
products,,(mi.),alone,wholes.,,industries
<                          2,0.17,17.54,0.78,0.65,0.05,1.27
2–5,0.18,16.84,0.54,0.59,0.23,1.30
6–10,0.16,29.10,0.43,0.87,0.07,1.11
11–30,0.14,88.93,0.38,0.81,0.06,1.20
>                          30,0.08,1406.77,0.29,0.71,0.18,1.43
Total,0.15,187.28,0.58,0.69,0.11,1.27
