,NGCC,NGCC-PCC,ICR-CC,ICR-NG,ICR-H                         2,ICR- H                         2                        -2P
Fuel input (MW),1209.3,1209.3,697.5,1134.8,1147.1,1151.3
Auxiliary (% LHV),−1.1%,−1.0%,−0.7%,−1.1%,−1.1%,−1.1%
CO                         2                        compressors (% LHV),0.0%,−3.0%,−2.2%,−1.2%,−1.2%,−0.4%
Gas turbine (% LHV),43.0%,43.0%,32.2%,40.2%,40.6%,43.2%
CO                         2                        expander (% LHV),0.0%,0.0%,5.9%,3.4%,3.4%,0%
Steam turbine (% LHV),20.2%,15.0%,15.5%,19.5%,19.1%,19.8%
Net power (MW),750.94,653.14,353.52,688.57,696.39,708.05
Net electrical efficiency (%),62.10,54.01,50.68,60.68,60.71,61.50
Specific emissions (kg/MWh),332.23,38.20,20.25,157.19,9.47,9.29
SPECCA (MJ/kg),,2.95,4.19,0.77,0.41,0.17
