Wave number (cm                         −1                        ),Intensity,Functional groups,Phytocompounds
3278.29,Strong,O-H str. (hydroxyl),"Glycosides, Flavonoids, Saponins, hexose sugars"
2951.16,Strong,CH                         2                        str. (Asymmetrical),"Aliphatic compounds                        Steroids, Saponins, Flavonoids"
2840.44,Medium,CH                         2                        str. (Symmetrical),"Aliphatic compounds                        Steroids, Saponins, Flavonoids"
2523,Strong,O-H str (Carboxylic acid),"Glycosides, Flavonoids"
2161.67,Strong,N=N=N str (azide),Flavonoids
1647.40,Medium,C=O str                        C=C str (Olefinic),"Steroidal glycosides, Flavonoids"
1450.06,Medium,CH                         2                        bend (Alkane),"Aliphatic compounds                        Steroids, Saponins, Flavonoids"
1406.7,Medium,S=O (Sulfonyl chloride),Tannins                        Cutin
1286,Weak,C-O Stretching (phenols),Tannins                        Cutin
1108.34,Strong,"C-O-C Str (Ether, Ester)",Glycosides
556.63,Weak,S-S (disulfides),Glycosides
