"Std                           +
","Run
","Factor 1
A: Extraction (%)","Factor 2
B:Permanganate ion (mM)","Factor 3
C:pH -","Factor 4
D:Time (Minute)","Absorbance (320 nm)
Actual (non-transform)","Absorbance (320 nm)
Actual (transform to sqrt)","Absorbance (320 nm)
Predicted (transform to sqrt)"
9,1,60,2.5,8,45,0.967,0.9834,0.9343
22,2,60,2.5,8,105,0.985,0.9925,1.02
24,3,20,1,4,105,0.212,0.4604,0.4908
15,4,60,1,5,75,0.263,0.5128,0.6090
19,5,20,2.5,5,75,1.056,1.03,0.9609
11,6,40,1.5,6,75,0.724,0.8509,0.8667
14,7,40,1.5,8,75,0.738,0.8591,0.8570
21,8,20,1.5,8,105,0.823,0.9072,0.9293
16,9,60,0.5,8,75,0.011,0.1049,0.1230
7,10,30,2.5,4,45,1.046,1.02,1.06
3,11,30,2.5,8,45,1.051,1.03,1.12
17,12,30,0.5,6,45,0.022,0.1483,0.1720
18,13,30,0.5,6,75,0.029,0.1703,0.1505
12,14,40,1.5,6,75,0.832,0.9121,0.8667
4,15,60,1,6,45,0.314,0.5604,0.5640
8,16,20,1,4,45,0.387,0.6221,0.5155
23,17,40,2.5,4,105,1.054,1.03,1.03
6,18,60,0.5,4,45,0.034,0.1844,0.1723
1,19,60,2.5,4,45,1.156,1.08,1.07
13,20,40,1.5,8,75,0.862,0.9284,0.8570
5,21,20,2.5,8,45,1.371,1.17,1.15
25,22,20,1.5,8,105,0.886,0.9413,0.9293
2,23,20,0.5,8,45,0.043,0.2074,0.2070
10,24,20,1,4,60,0.132,0.3633,0.4638
20,25,60,0.5,4,105,0.178,0.4219,0.3658
