Gene Name,Gene ID,Start position (bp),End position (bp),Length (AA),PI,MW(Da),Subcellular localization,Instability Index,GRAVY
CYP82C1,CCG013085.1,3:2374507,2376600,345,5.96,39089.38,Mitochondrion,42.06,0.747
CYP82C2,CCG013086.1,3:2383681,2384783,208,9.11,24407.62,Plasma membrane,36.84,−0.390
CYP82C3,CCG013089.1,3:2397074,2400256,489,5.87,55346.96,Endoplasmic reticulum,39.30,−0.059
CYP82C4,CCG013083.1,3:2363604,2366916,337,6.32,36975.44,Choloroplast,42.56,−0.074
CYP82C5,CCG013090.1,3:2406184,2406669,161,6.04,18353.36,Cytoplasm,52.00,0.013
CYP82C6,CCG002787.1,12:1395095,1397198,524,7.63,59465.08,Endoplasmic reticulum,39.60,−0.150
CYP82C7,CCG003476.1,125:1421305,1423951,197,6.23,22428.89,Nucleus,44.00,−0.211
CYP82C8,CCG009067.1,209:734722,736371,458,6.82,52443.79,Mitochondrion,30.79,−0.194
CYP82C9,CCG009068.1,209:756488,758097,456,8.91,52022.40,Cytoplasm,32.08,−0.224
CYP82C10,CCG009069.2,209:764390,766095,463,5.96,52563.50,Cytoplasm,31.44,−0.211
CYP82C11,CCG009604.1,221:56492,58332,346,8.10,40042.92,Nucleus,37.32,−0.466
CYP82C12,CCG011503.1,262:160135,162229,524,8.73,59772.93,Endoplasmic reticulum,36.70,−0.286
CYP82C13,CCG012561.1,289:305954,307432,455,6.55,51872.75,Mitochondrion,36.06,−0.288
CYP82C14,CCG013693.1,314:1040124,1041927,530,8.26,59840.75,Endoplasmic reticulum,38.58,−0.063
CYP82C15,CCG004261.1,1329:32632,34787,337,5.50,38146.68,Cytoplasm,43.65,−0.281
CYP82C16,CCG004262.1,1329:44245,51843,453,5.72,51218.85,Cytoplasm,39.43,−0.229
CYP82C17,CCG004263.1,1329:57941,68633,434,6.55,48544.98,Endoplasmic reticulum,42.44,−0.190
CYP82C18,CCG004264.2,1329:78712,122793,533,7.23,59980.84,Endoplasmic reticulum,36.97,−0.060
CYP82C19,CCG013081.1,3:2358458,2359432,324,9.04,36810.55,Endoplasmic reticulum,45.74,−0.255
CYP82C20,CCG013082.1,3:2360562,2360996,144,5.50,15876.19,Cytoplasm,54.66,−0.112
