"Fraction
Fraction","Malt
Soluble Nitrogen (%)","
Total Nitrogen (%)","
Soluble Nitrogen Ratio (%)","
Friability (%)","
Homogeneity (%)","
Number of Whole Corns","
Moisture (%)","
Predicted Spirit Yield (LA/tonne)","
Hot Water Extract (%)","Starch
Peak Gelatinisation Temperature (°C)","
Onset of Gelatinisation Temperature (°C)"
A,0.590 ± 0.02,1.40 ± 0.03,42.15 ± 1.25,89.17 ± 3.10,98.71 ± 0.61,18.7 ± 7.8a,5.93 ± 0.81,411.6 ± 4.77c,80.70 ± 1.20bc,61.17 ± 0.38,54.77 ± 0.29
B1,0.597 ± 0.02,1.32 ± 0.02,45.11 ± 2.25,92.43 ± 3.72,99.07 ± 0.41,11.7 ± 3.5abc,6.27 ± 0.65,418.5 ± 2.32bc,80.57 ± 0.59c,61.03 ± 0.63,54.82 ± 1.09
B2,0.600 ± 0.02,1.39 ± 0.02,43.16 ± 1.01,90.09 ± 2.62,98.43 ± 0.20,17.3 ± 2.1 ab,5.60 ± 1.04,418.9 ± 3.04bc,81.94 ± 0.70abc,61.02 ± 0.46,55.70 ± 2.26
C,0.587 ± 0.02,1.37 ± 0.04,42.82 ± 0.54,93.99 ± 2.95,99.07 ± 0.27,10.0 ± 2.6abc,5.67 ± 0.74,428.9 ± 3.52 ab,82.99 ± 0.27 ab,60.87 ± 0.45,56.70 ± 0.75
D1,0.600 ± 0.02,1.35 ± 0.05,44.34 ± 0.76,93.47 ± 3.41,99.17 ± 0.19,8.3 ± 2.9bc,6.07 ± 0.76,430.2 ± 5.92a,83.13 ± 0.31a,60.95 ± 0.35,57.38 ± 0.84
D,0.610 ± 0.02,1.34 ± 0.04,45.55 ± 2.01,94.89 ± 3.49,99.29 ± 0.45,5.7 ± 3.1c,5.87 ± 0.70,434.2 ± 0.72a,82.99 ± 0.27a,60.38 ± 0.03,56.47 ± 0.73
D2,0.597 ± 0.02,1.40 ± 0.04,42.66 ± 2.15,91.80 ± 2.67,99.16 ± 0.12,7.3 ± 1.2c,5.80 ± 0.75,430.9 ± 3.15a,82.32 ± 1.45abc,60.27 ± 0.08,55.40 ± 0.56
E,0.593 ± 0.01,1.40 ± 0.02,42.28 ± 0.46,92.30 ± 2.85,99.29 ± 0.17,4.7 ± 2.1c,5.70 ± 0.36,435.0 ± 5.63a,83.74 ± 0.13a,60.98 ± 1.09,56.43 ± 0.31
Concerto Mix,0.587 ± 0.02,1.33 ± 0.04,44.12 ± 1.01,92.47 ± 0.91,99.33 ± 0.29,6.7 ± 2.5c,5.67 ± 0.83,425.8 ± 1.69a,82.48 ± 0.24abc,60.97 ± 1.05,56.57 ± 0.42
Sienna Mix,0.587 ± 0.01,1.32 ± 0.07,44.63 ± 2.30,94.65 ± 0.79,99.35 ± 0.35,5.3 ± 2.1c,5.80 ± 0.87,433.4 ± 0.80a,83.38 ± 0.76a,60.58 ± 0.18,55.85 ± 0.22
