Fraction,Weight (mg),Volume (mm                         3                        ),Density (g cm                         −3                        ),Packing Efficiency (%),Specific Weight (kg hl                         −1                        ),Carbon (%),Nitrogen (%),C:N
A,29.06 ± 0.76h,26.66 ± 0.18h,1.09 ± 0.02a,54.91 ± 0.42b,58.97 ± 0.96d,40.05 ± 0.14a,1.41 ± 0.03a,28.37 ± 0.82a
B1,32.54 ± 0.28g,30.63 ± 1.42g,1.10 ± 0.01a,57.52 ± 2.66 ab,60.82 ± 0.18d,39.86 ± 0.28a,1.32 ± 0.02 ab,30.19 ± 0.49a
B2,39.08 ± 0.62f,34.18 ± 0.44f,1.15 ± 0.03a,56.57 ± 1.16 ab,64.97 ± 0.68bc,39.66 ± 0.32a,1.33 ± 0.04a,29.88 ± 1.16a
C,43.04 ± 0.38e,37.72 ± 0.28e,1.11 ± 0.06a,56.91 ± 0.71 ab,64.73 ± 0.51c,39.94 ± 0.03a,1.35 ± 0.03a,29.68 ± 0.34a
D1,46.63 ± 0.22d,41.02 ± 0.92d,1.14 ± 0.02a,56.77 ± 1.20 ab,64.02 ± 0.79c,39.76 ± 0.22a,1.35 ± 0.05a,29.50 ± 0.79a
D,50.27 ± 0.22c,44.01 ± 0.65c,1.14 ± 0.02a,56.96 ± 0.89 ab,65.25 ± 0.75abc,39.51 ± 0.45a,1.34 ± 0.05a,29.41 ± 0.60a
D2,53.95 ± 0.09b,46.22 ± 0.07b,1.17 ± 0.00a,56.87 ± 0.60 ab,66.98 ± 0.32a,39.69 ± 0.39a,1.40 ± 0.10a,28.51 ± 1.27a
E,57.94 ± 0.54a,50.87 ± 0.63a,1.14 ± 0.01a,57.29 ± 1.09 ab,65.80 ± 0.33abc,39.52 ± 0.22a,1.35 ± 0.01a,29.32 ± 0.20a
Concerto Mix,45.83 ± 2.32de,40.73 ± 1.88c,1.15 ± 0.03a,59.12 ± 0.47a,64.02 ± 0.47c,39.85 ± 0.21a,1.34 ± 0.02a,29.77 ± 0.34a
Sienna Mix,53.65 ± 1.81b,45.21 ± 1.31b,1.17 ± 0.02a,59.30 ± 0.98a,66.83 ± 0.98 ab,39.32 ± 0.35a,1.23 ± 0.08b,32.02 ± 1.50a
