"Cultivar
Cultivar","Total protein content                           a
% of flour","Avenin content                           b
% of flour","Avenin content                           b
% of proteins","R5 ELISA                           c
mg/kg","G12 ELISA                           d
mg/kg"
Aslak,19.3 ± 0.3,1.5 ± 0.7,7.8 ± 0.7,<5,30 ± 10
Astor,18.6 ± 0.2,1.7 ± 0.2,9.1 ± 0.2,<5,30 ± 12
Avanti,16.9 ± 0.1,1.4 ± 0.5,8.5 ± 0.5,<5,30 ± 13
Avetron,18.3 ± 0.07,1.5 ± 0.02,8.4 ± 0.03,<5,21 ± 3
Belinda,15.9 ± 0.03,1.6 ± 0.1,9.9 ± 0.1,<5,30 ± 6
CIav 1015,21.3 ± 0.2,1.8 ± 0.2,8.4 ± 0.2,<5,20 ± 6
CIav 1016*,18.4 ± 0.1,1.7 ± 0.1,9.1 ± 0.2,<5,22 ± 7
Donna,17.1 ± 0.08,1.6 ± 0.3,9.5 ± 0.4,<5,17 ± 1
Heljä*,20.4 ± 0.1,1.9 ± 0.2,9.3 ± 0.2,<5,17 ± 1
Mansholt III,19.7 ± 0.05,2.2 ± 0.1,10.9 ± 0.06,<5,17 ± 2
Matilda,19.7 ± 0.09,1.9 ± 0.1,9.8 ± 0.06,<5,42 ± 9
Matty,17.7 ± 0.1,1.4 ± 0.03,8.1 ± 0.03,<5,25 ± 4
Mirella,15.3 ± 0.05,1.1 ± 0.2,7.5 ± 0.2,<5,34 ± 8
Peppi,17.4 ± 0.04,1.5 ± 0.1,8.4 ± 0.2,<5,22 ± 4
Perttu,18.2 ± 0.1,1.4 ± 0.02,7.6 ± 0.003,<5,21 ± 5
PI 219763*,19.9 ± 0.05,1.7 ± 0.2,8.5 ± 0.2,<5,13 ± 3
PI 287264*,23.1 ± 0.08,2.2 ± 0.2,9.4 ± 0.2,<5,24 ± 8
PI 287265*,20.8 ± 0.1,2.1 ± 0.3,10.0 ± 0.3,<5,27 ± 8
PI 287266*,21.7 ± 0.3,2.0 ± 0.4,9.1 ± 0.4,<5,26 ± 8
PI 564724,20.7 ± 0.4,2.2 ± 0.2,10.7 ± 0.2,<5,19 ± 1
La Prevision,21.4 ± 0.3,2.2 ± 0.3,10.2 ± 0.3,<5,26 ± 4
Riina,21.0 ± 0.09,1.4 ± 0.2,6.8 ± 0.2,<5,44 ± 4
Salo,17.8 ± 0.2,1.4 ± 0.1,8.0 ± 0.1,<5,40 ± 11
Ouderwetse,18.9 ± 0.07,1.7 ± 0.01,9.1 ± 0.01,<5,40 ± 12
Troshaver uit Besel,19.7 ± 0.1,1.7 ± 0.2,8.3 ± 0.2,<5,50 ± 11
Wodan,19.4 ± 0.3,1.8 ± 0.2,9.1 ± 0.2,<5,53 ± 6
