"Variable
","All
(N = 224)"
"Age, years",50.0 ± 12.3
Males,133 (59)
Hypertension,67 (30)
Hyperlipidaemia,93 (42)
Type-2 diabetes,22 (10)
Waist-to-hip ratio,0.95 (0.90–1.00)
Current smoker,28 (12.5)
Statin use,66 (29.5)
"Total cholesterol, mg/dL",185.3 ± 37.6
"HDL cholesterol, mg/dL",56.7 ± 17.2
"LDL cholesterol, mg/dL",105.3 ± 31.0
"Triglycerides, mg/dL",119.5 ± 65.8
Framingham risk score,2 (1–6)
"C-reactive protein, mg/L",2 (1–5)
Psoriasis area severity index score,6 (3–10)
Total body surface area index,2 (1–5)
Biologic psoriasis treatment,60 (27)
"IFNγ, pg/mL",20.78 ± 55.73
"TNFα, pg/mL",4.01 ± 7.68
