Sample,Qubit 3.0 (C) (μg/mL)
BRCA_35_CMNH_17,45.1
BRCA_36_CMNH_17,52
BRCA_38_CMNH_17,42.7
BRCA_39_CMNH_17,51.6
BRCA_41_CMNH_17,44
BRCA_42_CMNH_17,39.3
BRCA_44_CMNH_17,47.2
BRCA_45_CMNH_17,56.9
BRCA_46_CMNH_17,46.4
BRCA_48_CMNH_17,53.1
BRCA_49_CMNH_17,50.3
BRCA_50_CMNH_17,40.5
BRCA_52_CMNH_17,35.7
BRCA_62_CMNH_17,53.6
BRCA_63_CMNH_17,48.6
BRCA_65_CMNH_17,47.3
BRCA_66_CMNH_17,52.2
BRCA_67_CMNH_17,57.6
BRCA_68_CMNH_17,47
BRCA_70_CMNH_17,41.8
BRCA_71_CMNH_17,37.3
BRCA_72_CMNH_17,47.6
BRCA_73_CMNH_17,52.4
BRCA_75_CMNH_17,51
