"
LogNumSubs","Single SIC
0.019***","Single SIC
0.047***","Multi-SIC
0.008","Multi-SIC
0.026*","Domestic sales only
0.022***","Domestic sales only
0.031*","Multinationals
0.009","Multinationals
0.029**"
,(2.833),(3.343),(1.070),(1.847),(2.686),(1.742),(1.462),(2.420)
LogLoanSize,−0.048***,−0.033***,−0.033***,−0.025***,−0.065***,−0.054***,−0.035***,−0.023***
,(−6.616),(−4.607),(−4.554),(−3.441),(−7.006),(−5.413),(−5.839),(−4.023)
LogMaturity,−0.057***,−0.030**,−0.023,0.009,−0.023,−0.009,−0.041***,−0.003
,(−3.941),(−2.109),(−1.469),(0.547),(−1.255),(−0.468),(−3.053),(−0.205)
fCovenants,0.021***,0.028**,0.056***,0.053***,0.014,0.025*,0.046***,0.060***
,(2.762),(2.576),(6.169),(4.818),(1.509),(1.923),(6.104),(6.308)
Capex,0.111***,0.101***,0.174***,0.156***,0.132***,0.090***,0.154***,0.145***
,(6.605),(4.300),(8.998),(6.356),(6.000),(3.035),(10.006),(7.287)
PP_Indicator,−0.140***,−0.106***,−0.096***,−0.070***,−0.102***,−0.055***,−0.133***,−0.097***
,(−9.669),(−6.309),(−5.979),(−4.336),(−5.416),(−2.614),(−10.254),(−7.047)
PP_Rating,−0.111***,−0.057,−0.132***,−0.089***,−0.198***,−0.129***,−0.099***,−0.067***
,(−3.991),(−1.634),(−5.602),(−3.182),(−5.273),(−2.616),(−4.853),(−2.810)
SecuredLoan,0.339***,0.217***,0.346***,0.254***,0.328***,0.195***,0.352***,0.242***
,(17.648),(8.307),(16.966),(9.858),(13.368),(5.765),(20.606),(11.343)
Sweeps,0.189***,0.189***,0.165***,0.163***,0.190***,0.189***,0.180***,0.188***
,(11.891),(8.672),(9.152),(7.683),(8.942),(6.150),(12.276),(10.637)
DividendR,0.001,−0.055**,0.042**,0.016,0.030,−0.049*,0.028*,0.003
,(0.061),(−2.462),(2.387),(0.740),(1.323),(−1.668),(1.848),(0.167)
TakeoverRecap,0.091***,0.113***,0.102***,0.125***,0.064**,0.075**,0.100***,0.124***
,(4.585),(4.527),(4.725),(5.119),(2.571),(2.168),(5.547),(6.097)
ShipAircraft,−0.246*,−0.414*,–,–,–,–,−0.328***,−0.179
,(−1.929),(−1.651),–,–,–,–,(−3.641),(−0.771)
ComPaperBackup,−0.434***,−0.236***,−0.365***,−0.267***,−0.326***,−0.179***,−0.393***,−0.281***
,(−8.880),(−4.991),(−9.475),(−6.689),(−5.400),(−3.150),(−11.092),(−8.082)
CorpPurposes,−0.025,−0.016,−0.042***,−0.022,−0.010,−0.003,−0.043***,−0.021
,(−1.615),(−0.956),(−2.605),(−1.298),(−0.502),(−0.129),(−3.209),(−1.507)
TermLoan,0.237***,0.161***,0.250***,0.149***,0.186***,0.131***,0.272***,0.167***
,(7.689),(5.383),(8.017),(4.873),(4.939),(3.762),(9.763),(6.307)
CreditLine,0.073**,0.023,0.092***,0.033,0.044,0.016,0.104***,0.034
,(2.549),(0.823),(3.092),(1.118),(1.217),(0.468),(4.029),(1.360)
LogNumLenders,−0.017,−0.028**,−0.015,−0.021*,−0.026*,−0.034**,−0.011,−0.003
,(−1.598),(−2.222),(−1.356),(−1.660),(−1.850),(−2.114),(−1.200),(−0.265)
