"Adverse events
Adverse events","High-dose methylprednisolone (n = 29)
Any grade","High-dose methylprednisolone (n = 29)
Grade 3 or 4","Ibrutinib (n = 39)
Any grade","Ibrutinib (n = 39)
Grade 3 or 4","Idelalisib (n = 14)
Any grade","Idelalisib (n = 14)
Grade 3 or 4"
Upper respiratory tract infection,2 (7.1%),1 (3.6%),12 (30.8%),1 (2.6%),2 (14.3%),1 (7.1%)
Pneumonia,8 (28.6%),7 (25.0%),9 (23.1%),7 (17.9%),2 (14.3%),2 (14.3%)
Sinusitis,4 (14.8%),2 (7.1%),–,–,–,–
Urinary tract infection,3 (10.7%),"2 (7,1%)",1 (2.6%),–,1 (7.1%),1 (7.1%)
Sepsis,1 (3.6%),1 (3.6%),1 (2.6%),1 (2.6%),2 (14.3%),2 (14.3%)
Zoster,1 (3.6%),1 (3.6%),3 (7.7%),1 (2.6%),–,–
Pleural effusion,–,–,1 (2.6%),–,1 (7.1%),1 (7.1%)
Pyrexia,–,–,2 (5.1%),–,–,–
Fungemia,2 (7.1%),2 (7.1%),–,–,–,–
Meningitis,1 (3.6%),1 (3.6%),–,–,–,–
Otitis externa,1 (3.6%),1 (3.6%),–,–,–,–
Diarrhea,2 (7.1%),1 (3.6%),7 (17.9%),–,2 (14.3%),–
Mucositis,–,–,2 (5.1%),1 (2.6%),–,–
Stomach ache,–,–,1 (2.6%),–,–,–
Nausea,–,–,1 (2.6%),–,–,–
Hemorrhagic diathesis,–,–,5 (12.8%),2 (5.1%),–,–
Rash,–,–,4 (10.3%),2 (5.1%),1 (7.1%),1 (7.1%)
Erythroderma,–,–,–,–,1 (7.1%),1 (7.1%)
Heart failure,–,–,3 (7.7%),3 (7.7%),–,–
Supraventricular arrhythmia,–,–,2 (5.1%),–,–,–
Atrial fibrillation,2 (7.1%),1 (3.6%),2 (5.1%),–,–,–
Hypertension,1 (3.6%),1 (3.6%),–,–,–,–
Neutropenia,21 (75%),9 (32.2%),2 (5.1%),1 (2.6%),3 (21.4%),3 (21.4%)
Thrombocytopenia,–,–,1 (2.6%),1 (2.6%),–,–
Acute renal failure,–,–,–,–,1 (7.1%),1 (7.1%)
Arthralgia,–,–,1 (2.6%),–,–,–
Dizziness,–,–,2 (5.1%),–,–,–
Attention deficit disorder,–,–,1 (2.6%),–,–,–
Neuropathy,–,–,1 (2.6%),–,–,–
Facial nerve paralysis,–,–,1 (2.6%),–,–,–
Diagnosis of second neoplasm,2 (7.1%),2 (7.1%),2 (5.1%),2 (5.1%),1 (7.1%),1 (7.1%)
