Reference,Formula,Bias ± SD (m                         2                        ),RMSD (m                         2                        ),R                         2,CCC
Boyd (1935),0.0003207⋅Ht                         0.3                        ⋅(1000·Wt)                         0.7285−0.0188⋅log                          10                          (1000·Wt),0.053 ± 0.044,0.069,0.970,0.953
Du Bois and Du Bois (1916),0.007184⋅Ht                         0.725                        ⋅Wt                         0.425,0.005 ± 0.030,0.030,0.981,0.990
Fujimoto et al. (1968),0.008883·Ht                         0.663                        ·Wt                         0.444,−0.040 ± 0.028,0.048,0.983,0.974
Gehan and George (1970),0.0235⋅Ht                         0.42246                        ⋅Wt                         0.51456,0.045 ± 0.038,0.059,0.977,0.965
Haycock et al. (1978),0.024265⋅Ht                         0.3964                        ⋅Wt                         0.5378,0.044 ± 0.044,0.062,0.975,0.962
Kuehnapfel et al. (2017),Female: 0.0051·Ht                         0.8516                        ·Wt                         0.3262                        ·e                         0.0036·BMI                         Male: 0.0051·Ht                         0.8516                        ·Wt                         0.3262                        ·e                         0.0036·BMI                        ·e                         −0.0120,0.059 ± 0.030,0.066,0.983,0.949
Livingston and Lee (2001),0.1173⋅Wt                         0.6466,0.068 ± 0.071,0.099,0.938,0.913
Mattar (1989),(Ht + Wt - 60)/100,−0.001 ± 0.038,0.038,0.976,0.985
Meeh (1879),0.1053⋅Wt                         2/3,0.029 ± 0.073,0.079,0.937,0.943
Mosteller (1987),H                                  t                                  ⋅                                  W                                  t                                  /                                  3600,0.029 ± 0.035,0.045,0.980,0.979
Schlich et al. (2010),Female: 0.000975482·Ht                         1.08                        ·Wt                         0.46                         Male: 0.000579479·Ht                         1.24                        ·Wt                         0.38,−0.090 ± 0.046,0.101,0.954,0.895
Sendroy and Cecchini (1954),0.0097⋅(Ht + Wt) − 0.545,−0.022 ± 0.035,0.041,0.976,0.982
Shuter and Aslani (2000),0.00949⋅Ht                         0.655                        ⋅Wt                         0.441,−0.017 ± 0.028,0.033,0.983,0.988
Tikuisis et al. (2001),Female: 0.01474⋅Ht                         0.55                        ⋅Wt                         0.47                         Male: 0.01281⋅Ht                         0.6                        ⋅Wt                         0.44,0.013 ± 0.028,0.031,0.982,0.989
Yu et al. (2010),0.00713989⋅Ht                         0.7437                        ⋅Wt                         0.404,0.002 ± 0.030,0.030,0.980,0.990
