Soil,Position,Intensity [mm h                           −1                          ],t                           p                          AD [min],t                           p                          WS [min],t                           p                          DC [min]
MI,1,70.2,21 (±0),6 (±1),17 (±3)
MI,2,81.2,20 (±2),4 (±0),10 (±3)
MI,3,56.7,23 (±0),6 (±0),18 (±2)
MI,4,35.3,–,27 (±0),–
MI,5,43.5,–,11 (±0),–
MI,6,56.3,–,8 (±2),28 (±1)
ZW,1,70.2,–,10 (±2),24 (±0)
ZW,2,81.2,–,6 (±2),22 (±2)
ZW,3,56.7,–,8 (±2),–
ZW,4,35.3,–,–,–
ZW,5,43.5,–,–,–
ZW,6,56.3,–,25 (±0),–
BK,1,70.2,24 (±2),4 (±0),18 (±1)
BK,2,81.2,18 (±3),3 (±0),10 (±0)
BK,3,56.7,21 (±1),4 (±0),20 (±0)
BK,4,35.3,–,–,–
BK,5,43.5,–,11 (±5),–
BK,6,56.3,20 (±0),7 (±0),21 (±3)
