Parameters,Group effect,Time effect,Interaction
BDNF,"F (2, 28) = 8.8                        P = 0.0010","F (1, 28) = 7.2                        P = 0.0118","F (2,28) = 37.2                        P < 0.0001"
EPM closed,"F (2,28) = 14.9                        P < 0.0001","F (1,28) = 51.4                        P < 0.0001","F (2,28) = 3.6                        P = 0.04"
EPM open,"F (2,28) = 40.9                        P < 0.0001","F (1,28) = 25.4                        P < 0.0001","F (2,28) = 3.5                        P = 0.04"
EPM center,"F (2,28) = 2.9                        P = 0.06","F (1,28) = 25.4                        P < 0.0001","F (2,28) = 0.41                        P = 0.66"
EPM,"F (2,28) = 7.2","F (1,28) = 51.6","F (2,28) = 21.92"
Total entries,P < 0.0001,P < 0.0001,P < 0.0001
HR,"F (2, 28) = 1.526;                        P = 0.235","F (10, 280) = 50.87;                        P < 0.001","F (20, 280) = 1.465;                        P = 0.090"
DBP,"F (2, 28) = 9.619;                        P = 0.0007","F (10, 280) = 2.527;                        P = 0.0063","F (20, 280) = 2.126;                        P = 0.003"
SBP,"F (2,28) = 5.360;                        P = 0.0107","F (10, 280) = 2.583;                        P = 0.0052","F (20, 280) = 2.170;                        P = 0.003"
MBP,"F (2, 28) = 6.776;                        P = 0.0040","F (10, 280) = 3.366;                        P = 0.0004","F (20, 280) = 2.535;                        P = 0.004"
LF/HF,"F (2, 28) = 13.54;                        P = 0.00010","F (10, 280) = 3.767;                        P=<0.0001","F (20, 280) = 2.629;                        P = 0.004"
LF,"F (2, 28) = 0.121;                        P = 0.885","F (10, 280) = 1.203;                        P = 0.288","F (20, 280) = 1.209;                        P = 0.245"
LFnu,"F (2, 28) = 13.74;                        P < 0.0001","F (10, 280) = 3.646;                        P = 0.0001","F (20, 280) = 1.787;                        P = 0.04"
HF,"F (2, 28) = 11.74;                        P = 0.0002","F (10, 280) = 2.837;                        P = 0.0022","F (20, 280) = 3.619;                        <0.0001"
HFnu,"F (2, 28) = 11.59;                        P = 0.0002","F (10, 280) = 3.468;                        P = 0.0003","F (20, 280) = 1.616;                        P = 0.04"
BRS,"F (2, 28) = 21.31;                        P < 0.0001","F (10, 280) = 7.100;                        P < 0.0001","F (20, 280) = 2.905;                        P < 0.0001"
VPB,"F (2, 28) = 30.17;                        P < 0.0001","F (10, 280) = 5.613;                        P < 0.0001","F (20, 280) = 2.633;                        P = 0.0002"
