No,Q-statements,The planner (female),The troubled (male),The protector (male),The follower (female),The stayer (female),The cautious (female),The realist (male),The believer (female),The anxious (female),The religious (female),The saviour (male),The rational (male),The housewife (female),The guardian (male),The optimist (mixed)
1,Early warning messages are crucial to our survival.,4,−1,2,1,3,5,3,2,3,3,3,1,2,0,2
2,I am afraid someone will steal my belongings.,1,2,−1,0,2,−1,−1,−1,−3,0,0,0,−3,3,1
3,One can never know whether you will reach the shelter safely.,0,1,0,−1,0,0,1,3,2,0,2,0,−1,0,0
4,Women are not safe in the shelter.,3,−3,−1,−5,5,−2,−4,−2,−2,−2,−2,0,−3,−3,−3
5,If people in the village told me to evacuate I would go.,0,−1,0,2,−3,2,0,4,0,1,2,2,−2,−2,2
6,The outcome is not in my hands.,1,1,1,−1,1,0,2,1,0,2,0,−1,−1,0,1
7,I will not leave my valuables behind.,0,4,−1,0,2,−2,1,0,0,2,−1,3,0,−4,−1
8,Something could happen to my family.,0,1,2,2,−1,1,0,1,1,−1,0,−1,1,1,2
9,People normally tell me when to evacuate.,−1,2,−1,−2,−1,0,−1,1,2,1,1,2,1,−2,3
10,The disaster training is helpful.,3,0,4,0,0,2,2,1,1,1,2,1,0,5,4
11,I only go when I see others evacuate.,−2,2,−1,−1,−2,1,1,3,0,−1,0,1,−3,3,−3
12,One should never leave their family behind.,1,2,4,−1,1,0,3,2,1,−1,4,−1,1,4,0
13,I know just how to prepare when I see an early warning flag.,−1,−1,2,−3,−3,3,0,0,0,−2,1,2,0,0,1
14,I feel safe after reaching the shelter.,2,0,1,−4,−3,−1,1,0,0,−2,1,0,−1,2,−1
15,Evacuating is the right thing to do.,0,0,5,3,−2,1,4,5,1,4,2,0,0,4,5
16,I am afraid of dying in the cyclone strikes.,1,1,−2,1,0,1,−3,1,2,−2,−2,−1,−5,1,0
17,I am better off because my valuables can be taken into the shelter.,−1,−1,1,−3,−4,−2,0,0,−3,0,−1,1,−1,0,−1
18,I never get the warning messages.,−2,0,−3,−2,−2,−3,−4,−3,−2,−4,−4,−3,−4,−1,−4
19,The shelter is not a place where I should be.,−2,−4,−4,1,1,−1,−3,−3,−5,−4,−3,−2,0,−3,−3
20,There is no point going to the shelter.,−5,−3,−4,−1,−2,−4,−2,−2,−4,−3,−5,−4,4,−4,−2
21,If the warning signal is low the cyclone will not be dangerous.,1,0,1,0,0,3,−1,0,3,0,0,−2,1,0,2
22,Most people live too far away from the cyclone shelter(s).,0,4,3,1,3,0,4,−1,1,2,3,3,−1,1,0
23,I normally get the warning too late.,−4,1,−1,0,−5,−3,−2,−5,−3,−3,−3,−5,−2,−3,−3
24,There is not enough space for everybody in the cyclone shelter.,−3,0,3,0,2,2,5,−4,0,0,3,3,2,−1,3
25,Nobody wants to leave their belongings behind.,3,3,2,−2,3,−2,1,−1,2,−1,0,5,2,−1,−2
26,My place is at home.,−3,−2,0,1,4,−3,−2,−3,−1,−3,−1,−3,5,−5,0
27,You cannot trust warning messages from people coming from other villages.,−1,−2,−2,0,0,0,−3,−1,1,−1,−4,0,−2,1,0
28,God decides who lives and dies.,0,3,0,0,1,0,2,4,0,3,4,4,4,0,0
29,An unmarried woman should not go to the shelter.,−1,−4,−5,−2,−1,−1,−5,−4,−1,0,−2,1,0,−2,−5
30,You can tell from the storm whether the cyclone will be strong.,4,−2,1,4,−1,3,0,3,−1,3,1,0,0,−1,−1
31,Some people are not allowed into the shelter.,−3,−5,−3,−3,0,−4,−2,−2,−2,−5,−3,−2,−4,−1,−2
32,Lack of time is the main problem.,2,0,−3,−1,−4,2,0,0,−2,−1,0,1,3,0,1
33,Terrible things may happen to you in the way to the shelter.,2,5,0,1,2,1,1,0,5,0,0,−1,0,3,0
34,When a volunteer tells me to evacuate I will.,2,−1,3,−4,0,−1,0,−1,3,2,1,−2,−2,−2,4
35,It is wrong for a man to evacuate and leave his wife behind.,1,0,1,4,4,4,3,2,4,1,5,4,3,1,0
36,The cyclone can rip the shelter apart.,−1,−1,−2,2,−1,1,0,1,−1,0,−2,2,1,2,1
37,It is better to die at home than in the shelter.,−2,−3,0,2,1,−1,−1,2,4,5,−1,−3,3,−2,−4
38,It does not feel right to leave the house.,−4,1,0,3,1,−5,−1,0,−1,1,−1,0,2,2,−1
39,I am afraid something may happen in the shelter.,0,−2,0,3,0,0,−1,−1,−1,1,−1,−1,1,1,3
40,People depend on natural warning messages.,5,0,−2,5,−1,4,2,−2,−4,4,1,−4,−1,2,−1
