Type of samples,Yield,qPCR,Fluorometer,Digital PCR,Sequencing,Nanodrop,DNA integrity,qPCR,Electrophoresis,Digital PCR,Mutation detection,qPCR,Digital PCR,ARMS,Sequencing,Inhibition,qPCR,Ref
Healthy controls,●,,,●,,,●,,,●,,,,,,,,[                         45                        ]
Healthy controls,●,●,,,,,●,●,,,,,,,,,,[                         46                        ]
Healthy and cancer patients,●,,●,,,,●,,●,,●,●,,,,,,[                         47                        ]
Cancer patients,●,,●,,,,●,,●,,●,,●,,,,,[                         48                        ]
Cancer patients,●,,●,●,,,●,●,,,●,,●,,,,,[                         49                        ]
Cancer patients,●,●,,,,,,,,,●,,,●,,,,[                         50                        ]
Pregnant women,●,●,,,,,,,,,,,,,,,,[                         51                        ]
Healthy controls,●,●,●,,●,,●,,●,,●,,,,●,,,[                         52                        ]
Cancer patients,●,●,,,,,,,,,,,,,,,,[                         53                        ]
Cancer patients,●,●,,,,,●,●,,,●,●,●,,,,,[                         54                        ]
Healthy controls,●,●,,●,,,●,●,,,,,,,,●,●,[                         55                        ]
Pooled sera from patients,●,●,●,,,,●,,●,,,,,,,,,[                         56                        ]
Healthy and cancer patients,●,●,●,,,,●,●,,,,,,,,,,[                         57                        ]
Cancer patients,●,●,,,,,,,,,●,●,,,,,,[                         58                        ]
Healthy and cancer patients,●,,●,●,,●,,,,,,,,,,,,[                         59                        ]
Healthy controls,●,●,,,,,,,,,,,,,,,,[                         60                        ]
Healthy controls,●,●,,,,,●,●,,,,,,,,,,[                         61                        ]
Number of studies,17,12,7,4,1,1,11,6,4,1,7,3,3,1,1,1,1,
