"
","Average loss
S&P 500","Average loss
DJIA","Average loss
Nikkei 225","Average loss
FTSE 100","
","DQ test (VaR)                           p                          values
S&P 500","DQ test (VaR)                           p                          values
DJIA","DQ test (VaR)                           p                          values
Nikkei 225","DQ test (VaR)                           p                          values
FTSE 100","
","DES test (ES)                           p                          values
S&P 500","DES test (ES)                           p                          values
DJIA","DES test (ES)                           p                          values
Nikkei 225","DES test (ES)                           p                          values
FTSE 100"
RW-125,0.977,0.894,1.282,0.876,,0.008,0.075,0.000,0.002,,0.074,0.200,0.045,0.014
RW-250,1.011,0.950,1.288,0.931,,0.008,0.065,0.072,0.001,,0.093,0.213,0.113,0.007
RW-500,1.104,1.058,1.348,0.993,,0.003,0.001,0.000,0.000,,0.006,0.003,0.004,0.001
GARCH-G,0.849,0.775,1.142,0.808,,0.715,0.840,0.949,0.024,,0.243,0.273,0.448,0.004
GARCH-Skt,0.836,0.764,1.135,0.794,,0.857,0.968,0.979,0.255,,0.722,0.738,0.830,0.201
HAR-Skt-RV5,0.826,0.733,1.613,0.791,,0.000,0.000,0.000,0.007,,0.000,0.000,0.000,0.002
HEAVY-N-RV5,0.755,0.698,1.123,0.779,,0.477,0.265,0.299,0.144,,0.079,0.046,0.048,0.032
HEAVY-Skt-RV5,0.743,0.686,1.110,0.768,,0.624,0.548,0.582,0.432,,0.497,0.490,0.344,0.364
AL-CAViaR-Sym,0.854,0.770,1.133,0.794,,0.573,0.452,0.959,0.125,,0.221,0.367,0.692,0.090
GAS-2F,0.861,0.801,1.151,0.796,,0.624,0.455,0.703,0.264,,0.206,0.200,0.562,0.456
GAS-1F,0.848,0.782,1.140,0.786,,0.059,0.280,0.131,0.560,,0.028,0.159,0.121,0.659
GARCH-FZ,0.839,0.762,1.134,0.793,,0.441,0.456,0.973,0.255,,0.388,0.417,0.732,0.218
Hybrid,0.853,0.770,1.113,0.794,,0.046,0.108,0.986,0.507,,0.016,0.155,0.897,0.319
GAS-2F-RV5,0.748,0.679,1.120,0.764,,0.237,0.503,0.002,0.782,,0.136,0.580,0.000,0.934
GAS-1F-RV5,0.744,0.684,1.113,0.769,,0.779,0.945,0.286,0.177,,0.822,0.908,0.174,0.275
GARCH-FZ-RV5,0.746,0.689,1.109,0.771,,0.931,0.914,0.617,0.538,,0.957,0.718,0.322,0.417
Hybrid-RV5,0.765,0.693,1.118,0.767,,0.677,0.801,0.424,0.474,,0.937,0.784,0.258,0.577
GAS-2F-RV10,0.747,0.676,1.119,0.766,,0.078,0.520,0.004,0.410,,0.063,0.593,0.001,0.666
GAS-1F-RV10,0.751,0.683,1.109,0.774,,0.589,0.909,0.230,0.374,,0.786,0.863,0.156,0.314
GARCH-FZ-RV10,0.750,0.689,1.123,0.773,,0.808,0.821,0.655,0.386,,0.857,0.743,0.294,0.265
Hybrid-RV10,0.754,0.696,1.108,0.767,,0.561,0.578,0.435,0.349,,0.750,0.887,0.274,0.563
GAS-2F-RN5,0.749,0.671,1.116,0.767,,0.317,0.755,0.921,0.648,,0.221,0.770,0.660,0.573
GAS-1F-RN5,0.747,0.681,1.123,0.766,,0.641,0.838,0.983,0.424,,0.904,0.824,0.866,0.454
GARCH-FZ-RN5,0.745,0.679,1.137,0.770,,0.788,0.779,0.972,0.492,,0.887,0.822,0.780,0.394
Hybrid-RN5,0.753,0.702,1.117,0.771,,0.668,0.820,0.998,0.445,,0.923,0.813,0.815,0.599
GAS-2F-RN10,0.748,0.674,1.118,0.763,,0.082,0.261,0.904,0.611,,0.087,0.370,0.644,0.862
GAS-1F-RN10,0.751,0.682,1.115,0.769,,0.596,0.775,0.856,0.384,,0.923,0.830,0.966,0.379
GARCH-FZ-RN10,0.746,0.676,1.134,0.771,,0.729,0.621,0.990,0.378,,0.923,0.826,0.900,0.277
Hybrid-RN10,0.765,0.709,1.112,0.768,,0.272,0.563,0.546,0.428,,0.777,0.837,0.975,0.626
