"Number
","Model
","1% VaR
1%","1% VaR
5%","
","2.5% VaR
1%","2.5% VaR
5%","
","5% VaR
1%","5% VaR
5%","
","10% VaR
1%","10% VaR
5%"
1,RW-125,3,3,,0,0,,0,0,,0,0
2,RW-250,1,2,,0,1,,0,0,,0,0
3,RW-500,0,2,,1,1,,0,1,,0,0
4,GARCH-G,4,4,,3,3,,1,1,,0,1
5,GARCH-Skt,0,1,,0,3,,0,0,,0,0
6,HAR-Skt-RV5,4,4,,4,4,,4,4,,4,4
7,HEAVY-N-RV5,4,4,,4,4,,0,3,,0,0
8,HEAVY-Skt-RV5,0,1,,0,0,,0,0,,0,0
9,AL-CAViaR-Sym,2,3,,1,3,,0,0,,0,0
10,GAS-2F,3,3,,2,2,,0,0,,1,2
11,GAS-1F,0,3,,0,0,,0,0,,1,1
12,GARCH-FZ,1,2,,1,3,,0,0,,0,1
13,Hybrid,2,2,,0,1,,0,0,,1,1
14,GAS-2F-RV5,0,1,,1,1,,1,1,,1,1
15,GAS-1F-RV5,0,1,,0,1,,0,1,,0,0
16,GARCH-FZ-RV5,0,1,,0,1,,0,0,,0,0
17,Hybrid-RV5,2,3,,0,1,,0,0,,0,0
18,GAS-2F-RV10,1,1,,1,1,,1,1,,1,1
19,GAS-1F-RV10,0,2,,1,1,,0,1,,0,0
20,GARCH-FZ-RV10,1,1,,1,1,,0,0,,0,0
21,Hybrid-RV10,2,3,,1,1,,0,0,,0,1
22,GAS-2F-RN5,2,3,,0,1,,0,0,,0,0
23,GAS-1F-RN5,0,1,,0,0,,0,0,,0,1
24,GARCH-FZ-RN5,0,0,,0,0,,0,0,,0,0
25,Hybrid-RN5,0,0,,0,0,,0,0,,0,1
26,GAS-2F-RN10,0,1,,0,0,,0,0,,0,0
27,GAS-1F-RN10,0,0,,0,0,,0,0,,0,1
28,GARCH-FZ-RN10,0,0,,0,0,,0,0,,0,0
29,Hybrid-RN10,0,1,,0,0,,0,0,,1,1
