,Thylogale,Macropus,Osphranter
Alocostoma,–,+,+
Amphicephaloides,+,–,–
Cassunema,+,–,–
Cloacina,+,+,+
Coronostrongylus,(+)                           a,+,+
Filarinema,+,+,+
Foliostoma,+,–,–
Globocephaloides,–,+,–
Hypodontus,+,–,+
Labiomultiplex,+,–,–
Labiosimplex,+,+,+
Labiostrongylus,+,–,+
Macropicola,–,+,–
Macroponema,–,+,+
Macropostrongyloides,–,+,+
Macropostrongylus,–,–,+
Monilonema,+,–,–
Papillostrongylus,–,+,+
Paramacropostrongylus,–,+,–
Pharyngostrongylus,+,+,+
Popovastrongylus,+,+,+
Rugopharynx,+,+,+
Sutarostrongylus,+,–,–
Tethystrongylus,+,–,–
Thallostonema,+,–,_
Thylonema,+,–,–
Thylostrongylus,+,–,–
Trigonostonema,+,_,_
Wallabinema,+,–,–
Zoniolaimus,(−)                           a,–,+
