Field trial                             #,Location,FishCam ID,Deployment date,Depth (m),Minimum water temperature (                             °                              C                            ),Deployment duration (days),Date of first recording,Date of last recording,Hours of video recorded
1,Armstrong Point,FC-00,2019-01-21,Variable,Unknown,~                            180,2019-01-21 06:28:46,2019-01-27 17:55:53,80.3
2,Ogden Point,FC-01,2019-05-03,10,11,8,2019-05-03 18:00:58,2019-05-10 13:35:19,163.2
3,Ogden Point,FC-01,2019-06-15,10,12,14,2019-06-15 15:22:00,2019-06-20 18:51:41,98.9
4,Ogden Point,FC-02,2019-06-15,10,12,14,2019-06-15 15:31:35,2019-06-21 18:21:33,117.3
5,Mill Bay,FC-01,2019-07-29,9,12,9,2019-07-29 15:40:24,2019-08-04 05:56:31,109.1
6,Mill Bay,FC-01,2019-08-18,9,15,14,2019-08-18 16:13:55,2019-09-02 01:36:16,212.2
7,Hornby Island,FC-01,2019-09-15,8,14,8,2019-09-15 16:01:23,2019-09-21 02:21:43,89.0
8,Hornby Island,FC-02,2019-09-15,8,14,8,2019-09-15 16:50:17,2019-09-23 18:16:42,127.0
9,Snake Island,FC-01,2019-11-28,12,11,13,2019-11-28 17:13:53,2019-12-05 14:21:44,111.2
10,Snake Island,FC-02,2019-11-28,12,11,13,2019-11-28 13:24:43,2019-12-06 23:11:50,132.4
