Methods,Approximation conditions,Phase reconstruction algorithms
"TIE                         [141,159,202]",Paraxial approximation                               λ                                2                                    |                                  u                                  |                                  2                                ≪                              1,−                              k                                  ∂                                  I                                  (                                  x                                  )                                    ∂                                  z                                  =                              ∇                              ·                                [                                I                                  (                                  x                                  )                                  ∇                                ϕ                                  (                                  x                                  )                                  ]                              Fourier solution:                             ϕ                                (                                x                                )                                =                              −                              k                                  F                                    −                                  1                                    {                                    j                                    2                                    π                                    u                                      4                                      π                                      2                                          |                                        u                                        |                                        2                                      +                                      ε                                      F                                  [                                    1                                      I                                      (                                      x                                      )                                          F                                        −                                      1                                        {                                        j                                        2                                        π                                        u                                          4                                          π                                          2                                              |                                            u                                            |                                            2                                          +                                          ε                                          F                                      [                                          ∂                                          I                                          (                                          x                                          )                                            ∂                                          z                                          ]                                      }                                    ]                                  }                              ε > 0 is a small constant.
,Weak defocusing approximation Δ                         z                        → 0,
,,
"Weak absorption TIE                         [158,263]",Paraxial approximation                               λ                                2                                    |                                  u                                  |                                  2                                ≪                              1,−                              k                                  ∂                                  I                                  (                                  x                                  )                                    ∂                                  z                                  =                                I                                0                                  ∇                                2                                ϕ                                (                                x                                )                              Fourier solution:                             ϕ                                (                                x                                )                                =                                k                                  I                                  0                                      F                                    −                                  1                                    {                                  1                                    4                                      π                                      2                                          |                                        u                                        |                                        2                                      +                                      ε                                      F                                  [                                      ∂                                      I                                      (                                      x                                      )                                        ∂                                      z                                      ]                                  }                              ε > 0 is a small constant.
,Weak defocusing approximation Δ                         z                        → 0,
,"Weak absorption approximation                             a                                (                                x                                )                                =                                a                                0                                +                                Δ                                a                                (                                x                                )                                ,                                Δ                                a                                (                                x                                )                                ≪                                a                                0",
,,
"CTF                         [163,221,253]","Paraxial approximation (optional)                               λ                                2                                    |                                  u                                  |                                  2                                ≪                              1                            Weak absorption approximation                             a                                (                                x                                )                                =                                a                                0                                +                                Δ                                a                                (                                x                                )                                ,                                Δ                                a                                (                                x                                )                                ≪                                a                                0","I                                  ^                                      Δ                                    z                                    (                                u                                )                                =                                I                                0                                  [                                δ                                  (                                  u                                  )                                  −                                2                                cos                                  (                                  π                                  λ                                    Δ                                    z                                      |                                      u                                      |                                      2                                    )                                    α                                  ^                                    (                                  u                                  )                                  +                                2                                sin                                  (                                  π                                  λ                                    Δ                                    z                                      |                                      u                                      |                                      2                                    )                                    ϕ                                  ^                                    (                                  u                                  )                                  ]                              Least-square solution:                             ϕ                                (                                x                                )                                =                                  F                                    −                                  1                                    [                                    D                                      (                                      u                                      )                                        ∑                                      z                                            I                                          ^                                              Δ                                            z                                            (                                        u                                        )                                        sin                                        (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                        −                                    E                                      (                                      u                                      )                                        ∑                                      z                                            I                                          ^                                              Δ                                            z                                            (                                        u                                        )                                        cos                                        (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                          2                                      I                                      0                                      [                                    C                                      (                                      u                                      )                                      D                                      (                                      u                                      )                                      −                                    E                                        (                                        u                                        )                                        2                                        ]                                      +                                        ε                                        ]                                          C                                      (                                      u                                      )                                      =                                      ∑                                      z                                            sin                                          2                                          (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                              where,                                     D                                      (                                      u                                      )                                      =                                      ∑                                      z                                            cos                                          2                                          (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                              E                                      (                                      u                                      )                                      =                                      ∑                                      z                                        sin                                        (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                        cos                                        (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                      ε > 0 is a small constant. Solution of multi-plane symmetrical defocusing:                             ϕ                                (                                x                                )                                =                                  F                                    −                                  1                                    {                                    ∑                                      j                                      =                                      1                                      N                                              |                                              sin                                              (                                              π                                              λ                                                Δ                                                z                                                  |                                                  u                                                  |                                                  2                                                )                                              |                                            2                                          [                                            I                                            ^                                                  Δ                                                z                                              j                                              (                                          u                                          )                                          −                                            I                                            ^                                              −                                                  Δ                                                  z                                                j                                                (                                          u                                          )                                          ]                                          4                                        I                                        0                                        sin                                        (                                        π                                        λ                                          Δ                                          z                                            |                                            u                                            |                                            2                                          )                                          ∑                                          j                                          =                                          1                                          N                                          [                                              |                                                sin                                                (                                                π                                                λ                                                  Δ                                                  z                                                    |                                                    u                                                    |                                                    2                                                  )                                                |                                              2                                          +                                          ε                                          ]                                        }                              Solution of two plane symmetrical defocusing:                             ϕ                                (                                x                                )                                =                                  F                                    −                                  1                                    [                                    sin                                      (                                      π                                      λ                                        Δ                                        z                                          |                                          u                                          |                                          2                                        )                                        [                                          I                                          ^                                              Δ                                            z                                            (                                        u                                        )                                        −                                          I                                          ^                                            −                                              Δ                                              z                                              (                                        u                                        )                                        ]                                        4                                      I                                      0                                          sin                                        2                                        (                                      π                                      λ                                        Δ                                        z                                          |                                          u                                          |                                          2                                        )                                      +                                      ε                                      ]                              or                             ϕ                                (                                x                                )                                =                                  F                                    −                                  1                                    [                                        I                                        ^                                            Δ                                          z                                          (                                      u                                      )                                      −                                        I                                        ^                                          −                                            Δ                                            z                                            (                                      u                                      )                                        4                                      I                                      0                                      sin                                      (                                      π                                      λ                                        Δ                                        z                                          |                                          u                                          |                                          2                                        )                                      ]"
,Weak phase approximation |                         ϕ                        (                         x                        )| ≪ 1 or Slowly varying phase approximation                               |                                  ϕ                                    (                                      x                                      −                                          λ                                            Δ                                            z                                          u                                          2                                        )                                    −                                  ϕ                                    (                                      x                                      +                                          λ                                            Δ                                            z                                          u                                          2                                        )                                    |                                ≪                              1,
,,
