Parameters,Units,DC,DCWW,WEOM,NCTW
pH,----,8.3 ± 0.20,8.0 ± 0.10,8.5 ± 0.10,7.8 ± 0.20
DOC,mg-C/L,11.25 ± 0.81,11.41 ± 0.59,9.7 ± 0.24,3.6 ± 0.11
UVA                         254,(cm                         −1                        ),0.34 ± 0.04,0.45 ± 0.04,0.37 ± 0.02,0.06 ± 0.01
SUVA,(L/mg-g),2.99 ± 0.11,3.72 ± 0.39,3.82 ± 0.27,1.76 ± 0.14
HIX,----,0.8 ± 0.08,0.74 ± 0.05,0.84 ± 0.07,0.49 ± 0.03
FIX,----,1.23 ± 0.27,1.37 ± 0.19,1.06 ± 0.23,1.04 ± 0.33
BIX,----,0.72 ± 0.11,0.79 ± 0.21,0.54 ± 0.06,0.39 ± 0.05
PC1,RU,0.91 ± 0.15,1.02 ± 0.28,1.6 ± 0.21,0.09 ± 0.02
PC2,RU,1.06 ± 0.33,1.2 ± 0.25,1.05 ± 0.28,0.14 ± 0.08
PC3,RU,0.76 ± 0.12,0.85 ± 0.19,0.54 ± 0.3,0.15 ± 0.05
