"
","STAT3+
CCRT (n = 22)","STAT3+
RT alone (n = 31)","
P","STAT3-
CCRT (n = 13)","STAT3-
RT alone (n = 22)","
P-value"
Median age (range),62 (49-69),61 (49-68),0.226                            a,57 (35-66),62 (50-69),0.060                            a
Sex,,,0.216                            b,,,0.522                            b
male,17 (77%),19 (61%),,8 (62%),11 (50%),
female,5 (23%),12 (39%),,5 (38%),11 (50%),
KPS,,,0.591                            b,,,0.004                            b
50,0 (0%),1 (3%),,0 (0%),0 (0%),
60,0 (0%),2 (6%),,0 (0%),0 (0%),
70,1 (5%),2 (6%),,0 (0%),3 (14%),
80,4 (18%),4 (13%),,0 (0%),7 (32%),
90,15 (68%),13 (42%),,10 (77%),10 (45%),
100,2 (9%),8 (26%),,2 (15%),2 (9%),
Localization,,,0.636                            b,,,0.056                            b
oral cavity,0 (0%),0 (0%),,0 (0%),2 (9%),
oropharynx,13 (59%),18 (58%),,11 (85%),12 (55%),
HPV/p16+,5 (23%),10 (32%),,7 (54%),8 (36%),
HPV/p16-,8 (36%),8 (26%),,4 (31%),4 (18%),
hypopharynx,6 (27%),6 (19%),,2 (15%),1 (5%),
larynx,3 (14%),7 (23%),,0 (0%),7 (32%),
T stage,,,0.035                            b,,,0.034                            b
T1,1 (5%),6 (19%),,0 (0%),4 (18%),
T2,3 (14%),11 (35%),,3 (23%),12 (55%),
T3,8 (36%),9 (29%),,3 (23%),2 (9%),
T4,10 (45%),5 (16%),,7 (54%),4 (18%),
N stage,,,0.061                            b,,,0.278                            b
N0,1 (5%),10 (32%),,5 (38%),3 (14%),
N1,3 (14%),3 (10%),,1 (8%),5 (23%),
N2a,1 (5%),3 (10%),,0 (0%),3 (14%),
N2b,9 (41%),12 (39%),,4 (31%),6 (27%),
N2c,6 (2%),3 (10%),,3 (23%),5 (23%),
N3,2 (9%),0 (0%),,0 (0%),0 (0%),
