Open unit trust,Return [%],Risk [point],Cost [%]
Stock Mix,"(                              −                              6                              .                              89                              ,                              0                              .                              31                              ,                              6                              .                              99                              )",4,3
Dynamic Mix,"(                              −                              4                              .                              82                              ,                              0                              .                              19                              ,                              4                              .                              86                              )",4,1.5
Fund of Controlled Returns,"(                              −                              0                              .                              7                              ,                              −                              0                              .                              08                              ,                              0                              .                              32                              )",3,1
Fund of Life Cycle 2020,"(                              −                              2                              ,                              0                              .                              06                              ,                              2                              .                              47                              )",3,1
Fund of Life Cycle 2030,"(                              −                              5                              .                              47                              ,                              0                              .                              2                              ,                              6                              .                              15                              )",4,1.5
Conservative Mix,"(                              −                              1                              .                              5                              ,                              0                              .                              09                              ,                              1                              .                              65                              )",3,1
Balanced Mix,"(                              −                              3                              .                              23                              ,                              0                              .                              17                              ,                              3                              .                              56                              )",3,1.5
High Yield bond,"(                              −                              2                              .                              02                              ,                              0                              .                              19                              ,                              2                              .                              63                              )",3,1
Corporate Bond,"(                              −                              4                              .                              91                              ,                              0                              .                              07                              ,                              4                              .                              02                              )",3,1
Sporobond,"(                              −                              1                              .                              46                              ,                              0                              .                              09                              ,                              1                              .                              2                              )",2,1
Sporoinvest,"(                              −                              0                              .                              49                              ,                              −                              0                              .                              02                              ,                              0                              .                              18                              )",1,0.3
Trendbond,"(                              −                              4                              .                              86                              ,                              −                              0                              .                              19                              ,                              3                              .                              37                              )",4,1
Global Stocks,"(                              −                              9                              .                              31                              ,                              0                              .                              6                              ,                              8                              .                              61                              )",5,3
Sporotrend,"(                              −                              9                              .                              19                              ,                              0                              .                              16                              ,                              8                              .                              23                              )",6,3
Top Stocks,"(                              −                              14                              .                              36                              ,                              0                              .                              71                              ,                              11                              .                              53                              )",6,3
