Polymer,Solution,d                        [nm],J                          sc                            a                          [mA cm                         −2                        ],V                          oc                            a                          [V],FF                           a,PCE                           a                          [%],η                          BR
2T-HD,CF/DPE (98:2),108,16.0,0.80,0.58,7.4,0.02
2T-DT,CF/DPE (95:5),96,11.0,0.76,0.47,4.0,0.13
,Tol./DPE (95:5),81,10.5,0.76,0.49,3.9,0.10
TT-HD,CF/DPE (95:5),83,12.1,0.84,0.54,5.5,0.04
TT-DT,CF/DPE (95:5),89,7.7,0.86,0.62,4.1,0.04
,Tol./DPE (95:5),78,6.6,0.86,0.61,3.5,0.04
T-HD,CF/DPE (95:5),108,11.2,0.85,0.61,5.9,0.02
(                         ran.                        ),Tol./DPE (95:5),94,9.9,0.86,0.63,5.4,0.02
T-HD,CF/DPE (95:5),96,11.9,0.88,0.63,6.6,0.02
(                         reg.                        ),Tol./DPE (95:5),123,11.2,0.86,0.64,6.1,0.02
