Parameter definition,Interpretation
γ                                1                                =                                λ                                f                                q                              K                                G                                f                                /                              σ,Relative unit value of effort in fishery.
γ                                2                                =                                λ                                f                                q                                β                                f                                  B                                  f                                  2                                /                                σ                                2,Impact on fishery price from fishery volume.
γ                                3                                =                                B                                f                                /                              K                              σ,Fishery price saturation parameter for the fishery volume.
γ                                4                                =                                λ                                f                                q                                β                                  f                                  a                                    D                                  f                                  2                                /                                σ                                2,Impact on fishery price from aquaculture volume.
γ                                5                                =                                D                                f                                /                              K                              σ,Fishery price saturation parameter for the aquaculture volume.
γ                                6                                =                                λ                                f                                  w                                f                                /                              σ,Relative unit cost of effort in fishery.
γ                                7                                =                                    λ                                    a                                      G                                    a                                    K                                  4                                [                                r                                  σ                                  K                                  ]                                 4,The relative unit value of effort in aquaculture
γ                                8                                =                                    λ                                    a                                      β                                    a                                      B                                      a                                      2                                      4                                  σ                                  [                                r                                  σ                                  K                                  ]                                 4,Impact on aquaculture price from aquaculture volume.
γ                                9                                =                                B                                a                                /                              K                              σ,Aquaculture price saturation parameter for the aquaculture volume.
γ                                10                                =                                    λ                                    a                                      β                                      a                                      f                                        D                                      a                                      2                                      4                                  σ                                  [                                r                                  σ                                  K                                  ]                                 4,Impact on aquaculture price from fishery volume.
γ                                11                                =                                D                                a                                /                              K                              σ,Aquaculture price saturation parameter for the fishery volume.
γ                                12                                =                                    λ                                    a                                      w                                    a                                      2                                  σ                                  [                                r                                  σ                                  K                                  ]                                 2,Relative unit cost of effort in aquaculture.
γ                                13                                =                              d                              /                              K,Remediation capacity parameter.
γ                                14                                =                              ρ                              /                              K                              σ,Relative emission rate.
