,n
Treatment for BMs (%),
Surgery,9 (12.3)
RT,7 (9.6)
RT + Surgery,57 (78.1)
Type of RT (%),
SRS,36 (49.3)
SRT,3 (4.1)
WBRT,23 (31.5)
WBRT + SRS boost,1 (1.4)
Unknown,1 (1.4)
Dose of RT (%),
1 × 17,1 (1.4)
1 × 18,3 (4.1)
1 × 20,1 (1.4)
1 × 21,2 (2.7)
1 × 24,2 (2.7)
3 × 8,4 (5.5)
5 × 4,2 (2.7)
5 × 5,15 (20.5)
5 × 6,7 (9.6)
10 × 3,13 (17.8)
13 × 3,1 (1.4)
14 × 2.5,2 (2.7)
15 × 2.5,6 (8.2)
17 × 2,1 (1.4)
20 × 2,1 (1.4)
Unknown,3 (4.1)
Treatments for multiple BMs (%),
All BMs resected,2 (2.7)
1 BM resected; RT for other BMs,16 (21.9)
1 BM resected; no treatment for other BMs,9 (12.3)
2 BMs resected; no treatment for other BMs,4 (5.5)
RT for all BMs,1 (1.4)
Unknown,1 (1.4)
Interval surgery and RT in days (median; IQR),28 (22–38)
