Method,M                          0                           ν
Deformed WS-QRPA (Jilin-Tübingen-Bratislava)                         [20],1.11
pnQRPA (Jyväskylä)                         [21],2.91
Deformed Skyrme-HFB-QRPA (Chapel Hill)                         [22],1.55
Spherical QRPA (Bratislava-Tübingen-CalTech)                         [23],2.46
ISM (Strasbourg-Madrid)                         [24],2.19
ISM (Michigan)                         [12],1.46
CDFT                         [25],4.24
NREDF                         [26],4.77
IBM-2                         [27],3.05
GCM                         [28],2.35
