"Category
Category","Health Problem
Health Problem","N of publications
N of publications","Pooled Prevalence (95 % CI)
Pooled Prevalence (95 % CI)","Heterogeneity
Q","Heterogeneity
P","Heterogeneity
I                         2"
MH,Depression,"24                         (                          Al-Rousan et al., 2017                        ;                         Baillargeon et al., 2009                        ;                         Brown and Brozowski, 2003                        ;                         Caverley, 2006                        ;                         Coid et al., 2002                        ;                         Combalbert et al., 2016                        ;                         Fazel et al., 2001a                        ;                         Fitton et al., 2018                        ;                         Gates et al., 2018                        ;                         Greene et al., 2018                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Kingston et al., 2011                        ;                         Koenig et al., 1995                        ;                         Lewis et al., 2006                        ;                         Majekodunmi et al., 2017                        ;                         Murdoch et al., 2008                        ;                         O’Hara et al., 2016                        ;                         O’Sullivan and Chesterman, 2007                        ;                         Regan et al., 2002                        ;                         Rodriguez et al., 2017                        ;                         Stoliker and Varanese, 2017                        ;                         Williams et al., 2006                        ,                         2010a                          )","19.2 % (13.2, 26.9)",2268.54,< .001,98.98
MH,Alcohol Abuse,"19                         (                          Ahalt et al., 2018                        ;                         Arndt et al., 2002                        ;                         Bolano et al., 2016                        ;                         Coid et al., 2002                        ;                         Davoren et al., 2015                        ;                         De Smet et al., 2016                        ;                         Fazel and Grann, 2002                        ;                         Fitton et al., 2018                        ;                         Flatt et al., 2017                        ;                         Gates et al., 2018                        ;                         Greene et al., 2018                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Lewis et al., 2006                        ;                         Moschetti et al., 2015                        ;                         Putkonen et al., 2010                        ;                         Rodriguez et al., 2017                        ;                         Williams et al., 2014                        ,                         2010a                          )","36.5 % (27.3,46.8)",671.80,< .001,97.32
MH,Dementia,"17                         (                          Al-Rousan et al., 2017                        ;                         Chodos et al., 2014                        ;                         Combalbert et al., 2016                        ;                         De Smet et al., 2016                        ;                         Fazel and Grann, 2002                        ;                         Fazel et al., 2001a                        ;                         Hayes et al., 2012                        ;                         Heinik et al., 1994                        ;                         Kingston et al., 2011                        ;                         Koenig et al., 1995                        ;                         Lewis et al., 2006                        ;                         McKinnon et al., 2017                        ;                         O’Sullivan and Chesterman, 2007                        ;                         Putkonen et al., 2010                        ;                         Regan et al., 2002                        ;                         Williams et al., 2010b                        ,                         2009                          )","6.9 % (3.3, 14)",961.77,< .001,98.33
MH,Schizophrenia,"15                         (                          Al-Rousan et al., 2017                        ;                         Baillargeon et al., 2000                        ,                         2009                        ;                         Caverley, 2006                        ;                         Coid et al., 2002                        ;                         Fazel and Grann, 2002                        ;                         Kingston et al., 2011                        ;                         Koenig et al., 1995                        ;                         Lewis et al., 2006                        ;                         Moschetti et al., 2015                        ;                         O’Sullivan and Chesterman, 2007                        ;                         Putkonen et al., 2010                        ;                         Regan et al., 2002                        ;                         Stoliker and Varanese, 2017                        ;                         Williams et al., 2010a                          )","5.3 % (2.9,9.6)",1127.58,< .001,98.75
MH,Substance Abuse,"14                         (                          Ahalt et al., 2018                        ;                         Al-Rousan et al., 2017                        ;                         Bolano et al., 2016                        ;                         Combalbert et al., 2016                        ;                         Davoren et al., 2015                        ;                         Fazel et al., 2001a                        ;                         Fitton et al., 2018                        ;                         Flatt et al., 2017                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Lewis et al., 2006                        ;                         Moschetti et al., 2015                        ;                         Williams et al., 2014                        ,                         2010a                          )","26.4 % (18.4, 36.5)",416.95,< .001,96.88
MH,Psychotic Disorders,"12                         (                          Al-Rousan et al., 2017                        ;                         Baillargeon et al., 2009                        ;                         Coid et al., 2002                        ;                         Combalbert et al., 2016                        ;                         Davoren et al., 2015                        ;                         De Smet et al., 2016                        ;                         Fazel and Grann, 2002                        ;                         Fazel et al., 2001a                        ;                         Fitton et al., 2018                        ;                         Hayes et al., 2012                        ;                         Heinik et al., 1994                        ;                         Putkonen et al., 2010                          )","7.2 % (3, 15.9)",873.22,< .001,98.74
MH,Anxiety,"11                         (                          Al-Rousan et al., 2017                        ;                         Coid et al., 2002                        ;                         Combalbert et al., 2016                        ;                         Fitton et al., 2018                        ;                         Gates et al., 2018                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Kingston et al., 2011                        ;                         Koenig et al., 1995                        ;                         Regan et al., 2002                        ;                         Stoliker and Varanese, 2017                          )","10.2 % (2.7, 14.6)",157.47,< .001,93.65
MH,Personality Disorders,"10                         (                          Al-Rousan et al., 2017                        ;                         De Smet et al., 2016                        ;                         Fazel and Grann, 2002                        ;                         Fazel et al., 2001a                        ;                         Hayes et al., 2012                        ;                         Heinik et al., 1994                        ;                         Moschetti et al., 2015                        ;                         O’Sullivan and Chesterman, 2007                        ;                         Putkonen et al., 2010                        ;                         Stoliker and Varanese, 2017                          )","17.8 % (11.3, 26.7)",241.58,< .001,96.27
PH,Hypertension,"28                         (                          Ahalt et al., 2018                        ;                         Baillargeon et al., 2000                        ;                         Beaufrère et al., 2014                        ;                         Beaufrère and Chariot, 2015                        ;                         Binswanger et al., 2009                        ;                         Bolano et al., 2016                        ;                         Chodos et al., 2014                        ;                         D’Souza et al., 2005                        ;                         De Smet et al., 2016                        ;                         Gates et al., 2018                        ;                         Greene et al., 2018                        ;                         Harzke et al., 2010                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Lewis et al., 2006                        ;                         Loeb and Steffensmeier, 2006                        ;                         Majekodunmi et al., 2017                        ;                         Maschi et al., 2017                        ;                         McKinnon et al., 2017                        ;                         Merten et al., 2012                        ;                         Meyer, 2016                        ;                         Moschetti et al., 2015                        ;                         Rodriguez et al., 2017                        ;                         Williams et al., 2006                        ,                         2014                        ;                         Williams et al., 2010b                        ,                         2009                        ;                         Williams et al., 2010a                          )","42 % (37, 48)",3153.35,< .001,99
PH,Cardiovascular Diseases,"26                         (                          Ahalt et al., 2018                        ;                         Baillargeon et al., 2000                        ;                         Beaufrère et al., 2014                        ;                         Beaufrère and Chariot, 2015                        ;                         Binswanger et al., 2009                        ;                         Bolano et al., 2016                        ;                         Chodos et al., 2014                        ;                         Davoren et al., 2015                        ;                         Fazel et al., 2001                        ;                         Gates et al., 2018                        ;                         Greene et al., 2018                        ;                         Handtke et al., 2015                        ;                         Hayes et al., 2012                        ;                         Humphreys et al., 2018                        ;                         Lewis et al., 2006                        ;                         Loeb and Steffensmeier, 2006                        ;                         Maschi et al., 2017                        ;                         McKinnon et al., 2017                        ;                         Merten et al., 2012                        ;                         Meyer, 2016                        ;                         Moschetti et al., 2015                        ;                         Williams et al., 2006                        ,                         2014                        ;                         Williams et al., 2010b                        ,                         2009                        ;                         Williams et al., 2010a                          )","18.5 % (15, 25)",979.48,< .001,97.44
