Site name,median (95 % range),bias,RMSE,R                           2,ME
1) Australian Capital Territory,5 (0−17),0.4,2.7,0.68,0.67
2) Alice Springs (NT),3 (2−4),0.1,0.5,0.20,0.11
3) Credo (WA),6 (3−8),−0.3,1.0,0.33,0.26
4) Litchfield (NT),8 (4−12),−0.7,1.7,0.48,0.38
5) Robson (Qld),26 (0−32),−0.4,3.3,0.85,0.85
6) Rushworth (Vic),12 (10−15),−0.1,1.6,0.12,0.01
7) Tumbarumba (NSW),22 (13−32),0.0,3.8,0.54,0.53
8) Warra (Tas),27 (9−38),1.2,6.1,0.36,0.34
9) Watts (Vic),38 (19−55),−3.0,8.2,0.32,0.21
10) Whroo (Vic),16 (15−17),−0.7,1.3,0.06,−1.00
11) ZigZag (Vic),17 (12−25),−0.3,2.6,0.46,0.45
