Samples,Density (kg/m                         3                        ),Compressive Strength (N/mm                         2                        ),Shear Stress (N/mm                         2                        ),Structural Efficiency (x 10                         3                        m)
P                         0                        & T                         0,1376,6.15,2.33,4.47
P                         1,1376,4.02,2.99,2.92
P                         2,1376,3.57,2.98,2.59
P                         3,1354,3.16,2.99,2.33
P                         4,1322,2.82,2.99,2.13
P                         5,1322,2.61,2.97,1.97
T                         1,1376,6.67,2.54,4.84
T                         2,1376,7.78,3.00,5.65
T                         3,1376,8.97,3.01,6.52
T                         4,1376,10.16,3.01,7.40
T                         5,1376,11.02,3.02,8.01
