"Order Source
","Part Name
HARDWARE & FRAMING","Unit Quantity
","Rounded to Package Quantity
","Unit Price
","Price
"
ZYLTech,90 Degree Corner,86,7,$4.95,$34.65
ZYLTech,8mm M4 Button Head,292,3,$4.95,$14.85
ZYLTech,M4 Extrusion Nuts,292,3,$9.95,$29.85
ZYLTech,T-Slot L Inside 90 degree,10,1,$4.95,$4.95
ZYLTech,2020-20 Extrusion,41,2,$53.99,$107.98
Amazon,WJB 6810-2RS,1,2,$15.49,$30.98
McMaster Carr,3/4in Aluminum L angle,,1,$7.07,$7.07
Amazon,Aluminum 215x215 plate,1,1,$19.99,$19.99
McMaster Carr,Aluminum 1/8in thick plate,1,1,$9.42,$9.42
Amazon,Tooth Idler Pulleys 3mm,5,1,$5.99,$5.99
Amazon,Smooth Idler Pulleys 3mm bore,4,1,$5.99,$5.99
Local Hardware Store,Panel Material-1/4in birch plywood,N/A,1,$28.00,$28.00
Amazon,Brass Insert Set,N/A,1,$19.00,$19.00
Amazon,Standoffs,6,1,$9.79,$9.79
Amazon,Flanged Bearings,2,1,$10.68,$10.68
E3D,Gates GT2 Belt,1,1,$8.00,$8.00
Amazon,M3 Thumb Nuts,4,1,$5.20,$5.20
Amazon,Mid load springs,4,1,$7.59,$7.59
Amazon,5mm rod,1,1,$6.44,$6.44
,LINEAR MOTION,,,,
ZYLTech,MGN12 Rail Single Block,2,2,$24.95,$49.90
ZYLTech,MGN12 Rail Double Block,2,2,$34.95,$69.90
ZYLTech,SBR16 Linear Rail Set,1,1,$34.95,$34.95
,ELECTRONICS,,,,
E3D,Nema 17 Stepper Motor Unipolar L=48mm w/ Gear Ratio 14:1 Planetary Gearbox,1,1,$29.99,$29.99
E3D,Nema17 High Torque Motor (E3D),3,3,$12.60,$37.80
E3D,Nema 17 External 48mm Stack 0.4A Lead 2mm/0.07874“ Length 330mm,1,1,$33.99,$33.99
E3D,High Temperature Heated Bed (E3D),1,1,$107.25,$107.25
Amazon,Solid State Relays,1,1,$9.56,$9.56
Amazon,Borosilicate Glass (E3D),1,1,$11.44,$11.44
E3D,Swiss Clips (E3D),4,4,$0.47,$1.88
Amazon,RAMPS 1.4 w/ full graphics disp,1,1,$35.99,$35.99
Amazon,Power Supply 12V,1,1,$25,$25
Amazon,Brushless Radial Fan,1,1,$17.58,$17.58
Amazon,PTC Ceramic Air Heater 110V/220V 1000W,1,1,$28.79,$28.79
Amazon,Microswitch,4,1,$7,$7
,Blue Sea Systems A-Series Toggle Single Pole Circuit Breakers,1,1,$15,$15
,E3D V6 High Temp Hotend,,,,
E3D,E3D V6,1,1,$55.62,$55.62
E3D,Thermocouple Kit,1,1,$28,$28
E3D,High Temperature Heater Cartridge,1,1,$62.09,$62.09
E3D,Stepper Motor,1,1,$12,$12
Amazon,Extruder Gear,1,1,$3,$3
Amazon,Bowden tube and fittings,1,1,$8,$8
