Address,ID,Type,#(Cars or Bikes)
Falen,L                      1,Cars,16.932
Anderupvej,L                      2,Cars,25.310
Aløkke Alle,L                      3,Cars,238.775
Thomas B Thriges Gade,L                      4,Bikes,46.978
Niels Bohrs Alle,L                      5,Bikes,445.883
Rødegårdsvej Østgående,L                      6,Bikes,575.089
Rugårdsvej,L                      7,Cars,2.318.852
Nyborgvej,L                      8,Cars,2.352.930
Grønlandsgade,L                      9,Cars,2.955.464
Odins Bro,L                      10,Cars,3.921.746
