3D Printed Parts,Quantity,Material
E3D_Thermocouple_Board,1,PETG
SiliconeLockRing,1,PETG
PCB_Case,1,PETG
LargeFunnel_R,1,PETG
LargeFunnel_L,1,PETG
DoorLatch_Pin,1,PETG
SwitchCover2,1,PETG
Switch_Cover,1,PETG
CableClamp,1,PETG
CableClamp2,1,PETG
Extruder_Base,2,PETG
Extruder_Arm,2,PETG
TopBearingArm,1,PETG
PelletFeeder_Mount,1,PETG
Z_Motor_Mount_Plate,1,PETG
LCD_Cover,1,PETG
DoorSwitchSensorTrigger,1,PETG
DoorSwitchSensorMount,1,PETG
DoorHinge1,2,PETG
DoorHinge2,2,PETG
FanMount_MIR,1,PETG
FanMount,1,PETG
Fan_Inlet_Shroud,1,PETG
FanShroudTube,1,PETG
FanShroud,1,PETG
PulleyCleat2,1,PETG
BearingSupport,1,PETG
TurntableMountV2,1,PETG
TurntableLockRing,1,PETG
GT2_TurntablePulley,1,PETG
ToolBlank,1,PETG
E3D_Clamp,1,PETG
FanPelletMount,1,PETG
Pellet_LockRing,1,PETG
FanPelletMount,1,PETG
Tool_Probe,1,PETG
FanShroud_Pellet,1,PETG
Tool_Middle,1,PETG
HeatsinkFanShroud,1,PETG
PelletFunnel,1,PETG
HeaterFanShroud,1,PEKK
SpoolHolder,1,PETG
Rotary_Encoder_wheel,1,PETG
Sensor_Base,1,PETG
SensorMount,1,PETG
Z_Motor_Mount_Plate,1,PETG
E3d_Mount,1,PETG
