,"Geochemistry, Mineralogy, and Petrology",Geodesy and Geoinformatics,Geography I (Social Geography),Geography II (Physical Geography),Geology,Geophysics,Meteorology,Mining,Paleontology
Number of scientific publications,32 (+2),23 (−7),35 (−5),31 (+1),36 (+6),28 (−2),35 (+5),36 (+6),28 (−2)
Number of scientific publications with first author position,16 (+1),12 (−3),18 (−2),16 (+1),18 (+3),14 (−1),18 (+3),18 (+3),14 (−1)
Number of scientific publications since obtaining last scientific degree,16 (+1),12 (−3),26 (−4),16 (+1),18 (+3),14 (−1),18 (+3),18 (+3),14 (−1)
Number of scientific books and monographies,–,–,2 (−),–,–,–,–,–,–
Number of scientific publications published in a foreign language,–,–,31 (−4),–,–,–,–,–,–
Number of journal articles indexed in SCI/SSCI and Scopus,19 (+7),6 (−2),5 (−1),10 (+2),17 (+5),11 (−1),14 (+2),5 (−3),14 (+2)
Number of journal articles indexed in SCI/SSCI and Scopus since obtaining last scientific degree,10 (+4),3 (−1),3 (−),5 (+1),9 (+3),6 (−),7 (+1),3 (−1),7 (+1)
Number of independent citations,207 (+57),74 (−46),165 (+15),184 (+64),187 (+37),79 (−71),245 (+95),102 (−18),249 (+99)
Number of independent citations located in SCI/SSCI and Scopus,82 (+32),24 (−6),18 (newly introduced),53 (+23),74 (+24),27 (−23),74 (+24),15 (−15),94 (+44)
Cumulative impact factor value,15 (+7),3 (−1),1 (−1),6 (+2),12 (+4),8 (−),10 (+2),3 (−1),11 (+3)
