Std,Starch (g/l),Peptone (g/l),Yeast Extract (g/l),pH,Biomass (600 nm/5),Activity (U/ml)
01,7.5,5.0,3.5,5,0.34,2.18
02,12.5,5.0,3.5,5,0.52,2.18
03,7.5,8.0,3.5,5,0.44,2.54
04,12.5,8.0,3.5,5,0.40,2.30
05,7.5,5.0,6.5,5,0.55,3.12
06,12.5,5.0,6.5,5,0.47,2.51
07,7.5,8.0,6.5,5,0.38,2.48
08,12.5,8.0,6.5,5,0.61,2.61
09,7.5,5.0,3.5,9,0.41,3.24
10,12.5,5.0,3.5,9,0.42,2.74
11,7.5,8.0,3.5,9,0.43,2.85
12,12.5,8.0,3.5,9,0.50,1.91
13,7.5,5.0,6.5,9,0.47,2.76
14,12.5,5.0,6.5,9,0.54,3.04
15,7.5,8.0,6.5,9,0.36,2.17
16,12.5,8.0,6.5,9,0.49,1.03
17,5.0,6.5,5.0,7,0.21,2.68
18,15.0,6.5,5.0,7,0.72,2.47
19,10.0,3.5,5.0,7,0.62,4.06
20,10.0,9.5,5.0,7,0.65,3.52
21,10.0,6.5,2.0,7,0.53,1.81
22,10.0,6.5,8.0,7,0.44,1.21
23,10.0,6.5,5.0,3,0.14,0.64
24,10.0,6.5,5.0,11,0.28,2.07
25,10.0,6.5,5.0,7,0.68,3.86
26,10.0,6.5,5.0,7,0.68,3.86
27,10.0,6.5,5.0,7,0.68,3.86
28,10.0,6.5,5.0,7,0.68,3.86
29,10.0,6.5,5.0,7,0.68,3.86
30,10.0,6.5,5.0,7,0.68,3.86
