,Tablet weight (mg),Concentration of             R            -amphetamine (mg/g),RSD (%),Concentration of             S            -amphetamine (mg/g),RSD (%),Total amphetamine (mg/g),ee%
1,150.77,35.26,3.64,38.36,3.87,73.62,4.21
2,168.67,47.82,3.81,48.40,2.48,96.22,0.60
3,168.82,44.54,2.37,47.78,3.25,92.32,3.51
4,165.55,30.82,3.43,31.62,1.75,62.44,1.28
5,176.65,29.00,2.07,29.78,3.57,58.78,1.33
6,169.18,17.94,3.69,18.5,3.20,36.44,1.54
7,147.95,36.70,3.18,40.44,2.48,77.14,4.85
8,168.70,19.02,2.63,19.86,2.44,38.88,2.16
9,169.03,20.26,3.51,21.10,3.77,41.36,2.03
10,166.75,37.16,2.96,45.16,2.11,82.32,9.72
11,177.45,19.12,2.18,20.26,3.35,39.38,2.89
12,166.06,44.68,1.6,49.66,3.39,94.34,5.28
