,1,2,3,4,5,6,7,8,9
1. Similarity in cobranding (SCB),,,,,,,,,
2. SCB               2,–.555**,,,,,,,,
3. Total cobranding,.478**,–.207**,,,,,,,
4. Decreasing network distance (DND),.140**,–.073,.316**,,,,,,
5. DND               2,–.051,.066*,–.127**,–.008,,,,,
6. Difference in closeness (DCL),–.195**,.198**,.138*,.012,–.073**,,,,
7. Structural equivalence,.047,–.021,.056*,.620**,.250**,–.061**,,,
8. Same destination dummy,.001,.059**,.001,.459**,.248**,.013,.804**,,
9. Combined closeness (CCL),.195**,–.047,.519**,.566**,–.147**,.154*,.118**,.038,
10. CCL × DCL,.084*,.021,.127*,–.015,.302**,–.075,–.041,–.021,.140**
