Compound,Absorbance (304 nm)
Ammonium persulphate,-0.032
Ammonium sulphate,0.031
Aluminum potassium sulfate dodecahydrate,-0.003
Copper (III) sulphate,-0.008
Copper (III) sulphate pentahydrate,-0.056
Sodium dodecyl sulphate,-0.018
Sodium sulphate anhydrous,-0.022
Sodium thiosulphate pentahydrate,-0.002
Manganese (II) sulphate monohydrate,0.039
Magnessium sulphate heptahydrate,0.027
Sodium 2-bromoethanesulfonate hydrate,-0.029
Sulfanilic acid,"0,033"
Sodium sulfite anhydrous,0.001
Zinc sulphate heptahydrate,0.006
Sodium 2-chloroethane sulfonate hydrate,0.028
Potassium sulphate,0.037
Ammonium iron (III) citrate,0.012
Iron (III) citrate hydrate,0.038
Iron (II) sulfate heptahydrate,0.985
