Entry,R              1,R              2,"1,3-Dicarbonyl",Product,Time (min),"Yield               b                ,                c              (%)"
1,pH,–,Dimedone,6a,20,91             [18]
2,4-ClC             6            H             4,–,Dimedone,6b,18,92             [18]
3,4-O             2            NC             6            H             4,–,Dimedone,6c,15,88             [18]
4,3-O             2            NC             6            H             4,–,Dimedone,6d,18,82             [18]
5,4-CH             3            OC             6            H             4,–,Dimedone,6e,30,90             [18]
6,4-CH             3            C             6            H             4,–,Dimedone,6f,25,70             [18]
7,"2,4-(Cl)             2             C             6            H             3",–,Dimedone,6g,20,93             [18]
8,4-(CH             3            )             2            NC             6            H             4,–,Dimedone,6h,20,88             [18]
9,4-BrC             6            H             4,–,Dimedone,6i,22,79             [18]
10,4-HOC             6            H             4,–,Dimedone,6j,30,80             [18]
11,(CH             3            )             2            CHCH             2,–,Dimedone,6k,40,57 This Work
12,CH             3            CH             2            CH             2,–,Dimedone,6l,35,50 This Work
13,pH,–,Dimedone,6m,13,91             [19]
14,4-ClC             6            H             4,–,Dimedone,6n,12,90             [19]
15,4-O             2            NC             6            H             4,–,Dimedone,6o,10,89             [19]
16,3-O             2            NC             6            H             4,–,Dimedone,6p,13,95             [19]
17,4-CH             3            OC             6            H             4,–,Dimedone,6q,20,92             [19]
18,4- CH             3            C             6            H             4,–,Dimedone,6r,35,92             [19]
19,4-HOC             6            H             4,–,Dimedone,6s,20,91             [19]
20,PhCHO,Et,Ethyl 3-oxobutanoate,7a,37,82             [19]
21,2-ClC             6            H             4,Et,Ethyl 3-oxobutanoate,7b,32,89             [20]
22,4-BrC             6            H             4,Et,Ethyl 3-oxobutanoate,7c,35,92             [20]
23,4-NO             2            C             6            H             4,Et,Ethyl 3-oxobutanoate,7d,22,95             [20]
24,"2,4-Cl, Cl C             6            H             4",Et,Ethyl 3-oxobutanoate,7e,30,87             [20]
25,4-OCH             3            C             6            H             4,Et,Ethyl 3-oxobutanoate,7f,35,78             [20]
26,4-CH             3            C             6            H             4,Et,Ethyl 3-oxobutanoate,7g,35,75             [20]
27,4-OHC             6            H             4,Et,Ethyl 3-oxobutanoate,7h,28,80             [20]
28,4-N(CH             3            )             2            C6H4,Et,Ethyl 3-oxobutanoate,7i,36,78             [20]
29,pH,Et,methyl 3-oxobutanoate,7j,35,85             [20]
30,4-ClC             6            H             4,Et,methyl 3-oxobutanoate,7k,30,87             [20]
