Level,Hearth,Sample label,Total weight (g),Dark colour (wt%),Light colour (wt%),Rest (<2mm) (wt%)
L4,a,(5–8)3,2.12,100,0,0
L4,A,01,34.24,56.3,23.6,20.2
L4,B,04,47.05,62.3,28.5,9.1
L4,D,02,75.94,77.1,13.0,9.8
L4,E,03,5.51,59.6,0,40.4
L5,K2,H301,48.71,72.2,6.2,21.6
L5,J1,J301,4.08,64.3,35.7,0
L7,a,(1–2)1,0,0,0,0
L7,Y,01,2.26,100,0,0
L7,W1,02,14.01,77.4,10.4,12.2
L7,W2b,2–03,3.67,63.0,37.0,0
L8,A,0,2.40,0,100,0
L11,I,(1–2)1,99.57,73.05,17.1,9.9
L11,I,(1–2)5,120.63,69.0,20.9,10.1
L11,L,(5–8)6,83.37,69.3,18.6,12.1
L14,T,01,67.56,74.9,17.0,8.0
L14,V,03,74.78,60.5,23.1,16.4
L14,Ω,01,75.24,75.5,7.9,16.6
