Level,Cult,Hearth,Locat.Tr/Sq,Illustr in Mov 1977,Sampled by:,Area (cm),Depth (cm),Shape,COM,Bone,Fill (jar nr)
L4,MG,a,V/F-G,–,LM,–,–,–,X,X,–
,MG,A,III/E-F,"Fig 16, Pl 41",Mov,80–50,–,basin,X,X,"7,8,6"
,MG,B,III/E,Fig 16,Mov,30–10,–,basin,–,X,9
,MG,D,III/E,"Fig 16, Pl 42",Mov,110–90,–,basin,–,X,"12,13"
,MG,E,III/E,Fig 16,Mov,50–40,–,basin,X,X,14
L5,EG,K2,IV/E,"Fig 29, Pl 55",Mov,100–140,7,basin,X,X,6
,EG,J1,IV/E,"Fig 28, Pl 52",Mov,120–350,2–6,bonfire,–,X,"9,11a,11b"
L7,EVA,Y,IV/D-E,"Fig 30, Pl 61",Mov,70–90,10,basin,X,X,–
,EVA,W1,IV/D-E,"Fig 30, Pl 60,61",Mov,80–90,5,basin,–,X,12
,EVA,W2b,IV/D-E,"Fig 30, Pl 62",Mov,130–150,20,basin,X,X,"4,5,16"
L8,EVA,A,III/C,"Fig 32, Pl 63,64",Mov,50–50,17,basin,X,X,4
L11,EA,I,II/C-D,"Fig 33, Pl 66",LM,30–80,15,basin,X,X,–
,EA,I,II/C-D,"Fig 33, Pl 66",LM,30–80,15,basin,–,X,–
,EA,L,V/C,"Fig 33, Pl 66",LM,70–70,15,basin,X,X,9
L12,EA,P,II-III B,Fig 34,Mov,68–74,15,basin,–,–,3
L14,EA,T,IV/B,"Fig 35, Pl 73,74",Mov,47–47,8,basin,–,X,"2a,2d"
,EA,V,II-III/B,"Fig 35, Pl 76",Mov,56–64,10,basin,X,X,"10,13"
,EA,Ω,III/B,"Fig 35, Pl 77",Mov,60–76,6,basin,X,X,16a
