Sample ID,"Sample (for RLM, micro XRF, EPMA)",RLM,μXRF,EPMA,Pb isotope analysis
J1,drilling,–,x,x,–
J2,cut,x,x,x,–
J3,cut,x,x,x,–
J4,cut,x,x,x,–
J5,cut,x,x,x,–
J6,cut,x,x,x,x
J7,cut,x,x,x,–
J8,drilling,–,x,x,–
J9,drilling,–,x,–,–
J10,cut,x,x,x,–
J11,drilling,–,x,–,–
J12,cut,x,x,–,–
J13,drilling,–,x,x,–
J14,cut,x,x,–,–
J15,drilling,–,x,x,x
J16,drilling,–,x,–,–
J17,cut,x,x,–,–
J18,cut,x,x,x,–
J20A,drilling,–,x,x,x
J20B,drilling,–,x,x,–
J21,drilling,–,x,x,–
J22,drilling,–,x,–,–
J24,drilling,–,x,x,–
J28,drilling,–,x,–,–
J29,drilling,–,x,–,–
J33.1,drilling,–,x,x,–
J33.2,cut,x,x,x,–
J34,cut,x,x,–,–
J35,drilling,–,x,–,–
J36,cut,x,x,x,–
J37,drilling,–,x,x,–
J38,drilling,–,x,–,x
J39,cut,x,x,x,–
J40,cut,x,x,x,–
J41,cut,x,x,x,–
J42,cut,x,x,x,–
J44,cut,x,x,–,–
J45,cut,x,x,x,–
J47,cut,x,x,–,–
J49,drilling,–,x,x,x
J50,cut,x,x,x,–
J51,cut,x,x,x,–
J52,cut,x,x,x,–
J54,cut,x,x,x,x
J57,cut,x,x,x,x
J59A,cut,x,x,x,–
J59B,cut,x,x,x,–
J62,cut,x,x,x,–
J63,cut,x,x,x,–
J64,cut,x,x,x,–
J105,cut,x,x,–,–
