Sample ID,Chronological period,Alloy type,Metalworking,Provenance indications,Ni-As groups
J1,Byz/Uma,Leaded bronze,–,–,no Ni / As
J2,Byz/Uma,Leaded bronze,Cast,–,"Ni, no As"
J3,Byz/Uma,Leaded bronze,Cast,–,"Ni, no As"
J4,Byz,Brass,Hammered,–,"As, no Ni"
J5,Byz,Leaded bronze,Cast,–,As / Ni correlated
J6,Byz,Leaded brass,Hammered,Massif Central,"Ni, no As"
J7,Byz,Brass,Hammered,–,"Ni, no As"
J8,Byz,Brass,–,–,"As, no Ni"
J9,–,Leaded copper,–,–,–
J10,Ayy/Mam,Leaded bronze,Cast,–,no Ni / As
J11,–,Leaded bronze,–,–,–
J12,–,Brass,Hammered,–,–
J13,Byz,Copper,–,–,"Ni, no As"
J14,–,Leaded bronze,Cast,–,–
J15,Byz,Brass,–,Massif Central,no Ni / As
J16,–,Leaded brass,–,–,–
J17,–,Copper,Hammered,–,–
J18,Byz,Copper,Hammered,–,"Ni, no As"
J20A,Byz,Brass,–,Cyprus,"Ni, no As"
J20B,Byz,Brass,–,–,"Ni, no As"
J21,Byz,Brass,–,–,"Ni, no As"
J22,–,Leaded copper,–,–,–
J24,Byz,Leaded brass,–,–,As / Ni correlated
J28,Rom/Byz,Leaded brass,–,–,–
J29,Uma/Mam,Leaded copper,–,–,–
J33.1,Byz,Leaded copper,–,–,no Ni / As
J33.2,Byz,Brass,Hammered,–,no Ni / As
J34,–,Brass,Hammered,–,–
J35,Rom/Byz,Leaded copper,–,–,–
J36,Byz,Brass,Hammered,–,no Ni / As
J37,Uma,Leaded copper,–,–,no Ni / As
J38,Byz,Bronze,–,Massif Central,–
J39,Rom,Bronze,Hammered,–,no Ni / As
J40,Rom,Bronze,Hammered,–,no Ni / As
J41,Uma,Copper,Hammered,–,no Ni / As
J42,Rom,Bronze,Cast,–,no Ni / As
J44,Rom,Bronze,Cast,–,–
J45,Uma,Copper,Hammered,–,"Ni, no As"
J47,Rom/Byz,Leaded bronze,Hammered,–,–
J49,Rom,Bronze,–,Cyprus,no Ni / As
J50,Byz/Uma,Leaded bronze,Hammered,–,"Ni, no As"
J51,Byz/Uma,Brass,Hammered,–,As / Ni correlated
J52,Uma,Copper,Hammered,–,As / Ni correlated
J54,Uma,Leaded bronze,Cast,Romania/Bulgaria,As / Ni correlated
J57,Uma,Bronze,Hammered,Timna,"Ni, no As"
J59A,Uma,Brass,Hammered,–,"Ni, no As"
J59B,Uma,Bronze,Cast,–,As / Ni correlated
J62,Byz/Uma,Brass,Hammered,–,"As, no Ni"
J63,Uma/Mam,Leaded bronze,Cast,–,As / Ni correlated
J64,Byz/Uma,Copper,Hammered,–,As / Ni correlated
J105,–,Copper,Cast,–,–
