Relational table,Attributes
Source,"src_id, schema_name, table_name, column_name, pk_name"
BasicConfiguration,"bc_id, ss_id, page_size, io_access, refinement_type"
StorageSystem,"ss_id, storage_system, description"
FlashDBSimConfiguration,"ss_id, ftl_id, vfd_id"
VirtualFlashDevice,"vfd_id, nand_device_type, block_count, page_count_per_block, page_size1, page_size2, erase_limitation, read_random_time, read_serial_time, program_time, erase_time"
FlashTranslationLayer,"ftl_id, ftl_type, map_list_size, wear_leveling_threshold"
BufferConfiguration,"buf_id, buf_type, buf_size"
SpecializedConfiguration,"sc_id, description"
RTreeConfiguration,"sc_id, or_id, split_type"
RStarTreeConfiguration,"sc_id, or_id, reinsertion_perc_internal_nodes, reinsertion_perc_leaf_nodes, reinsertion_type, max_neighbors_exam"
HilbertRTreeConfiguration,"sc_id, or_id, order_splitting_policy"
FORTreeConfiguration,"sc_id, or_id, buffer_size, flushing_unit_size, ration_flushing, x, y"
FASTConfiguration,"sc_id, index_type, db_sc_id, buffer_size, flushing_unit_size, flushing_policy, log_size"
eFINDConfiguration,"sc_id, index_type, db_sc_id, buffer_size, read_buffer_perc, temporal_control_policy, read_temporal_control_perc, write_temporal_control_size, write_temporal_control_mindist, write_temporal_control_stride, timestamp_percentage, flushing_unit_size, flushing_policy, read_buffer_policy, log_size"
OccupancyRate,"or_id, min_fill_int_nodes, min_fill_leaf_nodes, max_fill_int_nodes, max_fill_leaf_nodes"
IndexConfiguration,"config_id, src_id, bc_id, sc_id, buf_id"
SpatialIndex,"idx_id, config_id, idx_name, idx_path, idx_creation, idx_last_mod"
Execution               a,"pe_id, idx_id, execution_name, total_time, index_time, read_time, write_time, split_time, reads_num, writes_num, total_cpu_time, index_cpu_time, read_cpu_time, write_cpu_time, split_cpu_time,..."
ReadWriteOrder,"pe_id, rw_order, op_type, op_timestamp, page_id"
FlashSimulatorStatistics,"pe_id, read_count, write_count, erase_count, read_latency, write_latency, erase_latency"
IndexSnapshot               a,"pe_id, height, num_int_nodes, num_leaf_nodes, num_entries_int_nodes, num_entries_leaf_nodes, avg_num_entries_pnode, avg_coverage_area_pnode,..."
PrintIndex,"pe_id, node_id, geom, elem_position, node_height"
