"Variable
Variable","OLS (1)
REN/TC","Lagged OLS (2)
REN/TC","Lagged OLS (3)
REN/TC","OLS (4)
REN/TC","Lagged OLS (5)
REN/TC","Lagged OLS (6)
REN/TC"
WOBN,1.714***,1.271**,1.422**,,,
,(2.503),(2.113),(2.149),,,
W0,ˉ,ˉ,ˉ,1.342,1.123,1.116
,ˉ,ˉ,ˉ,(1.146),(1.246),(1.151)
W1,ˉ,ˉ,ˉ,2.013*,2.186*,2.201
,ˉ,ˉ,ˉ,(1.981),(1.935),(1.242)
W2,ˉ,ˉ,ˉ,1.321**,1.452***,1.644***
,ˉ,ˉ,ˉ,(2.094),(2.352),(2.391)
W3,ˉ,ˉ,ˉ,1.012**,1.501**,1.131***
,ˉ,ˉ,ˉ,(2.135),(2.109),(2.310)
WCEO,0.129,1.011,1.234*,0.441,0.361*,1.103*
,(0.542),(1.399),(1.899),(1.132),(1.999),(1.992)
Board size,4.121**,2.019*,2.873*,3.112**,3.112**,2.121**
,(2.149),(1.893),(1.943),(2.123),(2.163),(2.183)
Duality,−1.132,−1.431,−1.332,−2.120,−2.209,−2.154
,(−0.148),(−1.109),(−1.325),(−1.631),(−1.114),(−1.252)
%_Board independence,2.112**,2.112**,2.112**,1.151*,1.133**,2.141**
,(2.102),(2.109),(2.132),(1.919),(2.179),(2.143)
B_meeting,−9.193,−6.063,−6.132,−7.123,−5.211,−6.151
,(−0.123),(−0.810),(−1.421),(−1.013),(−1.431),(−0.414)
Tobin's q,17.102,−7.283,−6.132,4.133*,4.117*,4.203**
,(0.634),(−0.374),(−1.142),(1.911),(1.890),(2.122)
ROA,1.109*,2.142*,2.122*,2.236,2.092*,2.022**
,(1.912),(1.991),(1.991),(1.126),(1.873),(2.194)
Cash/net assets,0.133,3.131,3.001,2.135,2.291,2.331
,(0.153),(1.498),(1.145),(1.154),(1.192),(1.143)
Leverage,−28.132,−11.374,−12.121,−9.231,−9.118,−11.184
,(−0.342),(−0.895),(−0.882),(−1.121),(−0.331),(−1.541)
IO,−0.121,−1.132,−1.324,−1.131,−1.231*,−1.122*
,(−0.236),(−1.457),(−1.143),(−1.017),(−1.891),(−1.982)
%_Insider owner,0.288,0.682,1.032,0.149,0.421,0.423
,(0.173),(0.154),(1.123),(1.113),(0.149),(0.154)
Firm size,14.321**,13.142**,11.429***,11.443**,9.137**,9.143**
,(2.114),(2.153),(2.523),(2.093),(2.104),(2.142)
Constant,−11.843**,−17.750**,−14.124*,ˉ,ˉ,ˉ
,(−2.132),(−2.120),(−1.898),ˉ,ˉ,ˉ
Industry effects,Y,Y,Y,Y,Y,Y
Year effects,Y,Y,Y,Y,Y,Y
N,"11,677",9190,7950,"11,677",9190,7950
Adj. R-sq,0.211,0.192,0.202,0.432,0.345,0.392
Coefficient test W1-W2,,,,[10.139],[11.108],[9.472]
Coefficient test W2-W3,,,,[7.171],[6.742],[8.334]
