,OLS (1),Lagged OLS (2),Lagged OLS (3)
Variable,REN/TC,REN/TC,REN/TC
WOB_independence,1.212***,1.212**,1.350**
,(2.392),(2.021),(2.013)
WOB_insider,1.132*,1.489,1.468
,(1.992),(1.623),(1.722)
WCEO,0.128,1.233*,1.113*
,(0.413),(1.923),(1.919)
Board size,2.112***,2.644*,2.132*
,(2.499),(1.992),(1.922)
Duality,−2.132*,−2.130*,−2.122*
,(−1.993),(−1.992),(−1.991)
%_Board independence,2.323**,1.211**,1.132**
,(2.168),(2.012),(2.012)
B_meeting,−7.132,−7.123,−6.132*
,(−1.143),(−1.685),(−1.891)
Tobin's q,9.120*,5.121*,3.132*
,(1.969),(1.935),(1.892)
ROA,1.543*,1.169*,1.181*
,(1.992),(1.883),(1.963)
Cash/net assets,1.133,3.231,3.014
,(1.121),(1.791),(1.013)
Leverage,−10.126,−11.122*,−9.122
,(−1.197),(−1.893),(−1.606)
IO,−0.201,−0.224,−0.211*
,(1.021),(1.692),(1.982)
%_Insider owner,0.299,−1.321,−1.149
,(1.182),(1.036),(1.331)
Firm size,9.239**,7.133***,7.122**
,(2.011),(2.424),(2.124)
Constant,−11.298**,−17.634*,−11.120**
,(−2.034),(−1.961),(−2.042)
Industry effects,Y,Y,Y
Year effects,Y,Y,Y
N,"11,677",9190,7950
Adj. R-sq,0.181,0.176,0.191
