"Variable
Variable","OLS (1)
ROS","OLS (2)
ROS","Lagged OLS (3)
ROS","OLS (4)
ROA","OLS (5)
ROA","Lagged OLS (6)
ROA"
REN/TC,0.024**,0.019**,0.009**,0.108**,0.013**,0.016*
,(2.154),(2.101),(2.111),(2.143),(2.177),(1.942)
WCEO,ˉ,0.201,0.018,ˉ,0.119,0.019
,ˉ,(1.223),(0.201),ˉ,(1.188),(1.432)
Board size,ˉ,2.099**,1.220**,ˉ,2.232**,0.432**
,ˉ,(2.143),(2.098),ˉ,(2.131),(2.142)
Duality,ˉ,−0.089**,−0.010*,ˉ,−0.148*,−0.019*
,ˉ,(−2.109),(−1.894),ˉ,(−1.991),(−1.887)
%_Board independence,ˉ,2.029**,2.001**,ˉ,1.143**,1.133**
,ˉ,(2.131),(2.144),ˉ,(2.101),(2.079)
B_meeting,ˉ,−4.175,−2.101,ˉ,−2.113,−2.101
,ˉ,(−1.148),(−1.163),ˉ,(−1.202),(−1.281)
Cash/net assets,ˉ,1.022,1.155,ˉ,1.302,1.019
,ˉ,(1.562),(1.101),ˉ,(1.133),(1.233)
Leverage,ˉ,−15.103,−13.111,ˉ,−11.321,−9.111
,ˉ,(−1.543),(−1.544),ˉ,(−1.157),(−1.732)
IO,ˉ,−1.421*,−1.017*,ˉ,−1.123*,−1.143
,ˉ,(−1.984),(−1.052),ˉ,(−1.891),(−1.121)
%_Insider owner,ˉ,−0.412*,−0.143*,ˉ,−0.123,−0.109*
,ˉ,(−1.923),(−1.955),ˉ,(−1.681),(−1.886)
Firm size,ˉ,5.202**,5.111*,ˉ,4.013**,3.432**
,ˉ,(2.115),(1.883),ˉ,(2.132),(2.119)
Constant,2.243***,5.132***,6.342***,3.124***,4.107***,5.432***
,(4.112),(2.874),(2.321),(3.232),(2.674),(2.743)
Industry effects,Y,Y,Y,Y,Y,Y
Year effects,Y,Y,Y,Y,Y,Y
N,"11,677","11,677",9190,"11,677","11,677",9190
Adj. R-sq,0.132,0.182,0.221,0.201,0.233,0.244
