"Variable
Variable","OLS (1)
REN/TC_RES","OLS (2)
REN/TC_RES","Lagged OLS (3)
REN/TC_RES"
WOBP_RES,1.800**,2.903**,3.820**
,(2.159),(2.182),(2.139)
WCEO,ˉ,5.962,6.900
,ˉ,(0.032),(0.292)
Board size,ˉ,10.126*,8.129
,ˉ,(1.859),(0.036)
Duality,ˉ,−0.132,−0.045
,ˉ,(−1.323),(−1.562)
%_Board independence,ˉ,2.438,3.320*
,ˉ,(0.760),(1.943)
B_meeting,ˉ,−7.079,−2.441
,ˉ,(−0.025),(−0.095)
Tobin's q,ˉ,−6.044,4.389*
,ˉ,(−1.214),(1.891)
ROA,ˉ,2.324*,0.029**
,ˉ,(1.992),(2.103)
Cash/net assets,ˉ,0.101,0.144
,ˉ,(0.321),(1.158)
Leverage,ˉ,−15.509,−20.383
,ˉ,(−0.840),(−0.801)
IO,ˉ,−0.127*,−0.051
,ˉ,(−1.882),(−0.033)
%_Insider owner,ˉ,−0.659*,0.051*
,ˉ,(−1.892),(1.987)
Firm size,ˉ,16.280***,26.761***
,ˉ,(2.640),(3.281)
Constant,2.690*,18.480*,11.484**
,(1.917),(1.872),(2.141)
Industry effects,Y,Y,Y
Year effects,Y,Y,Y
N,"11,677","11,677",9190
Adj. R-sq,0.091,0.132,0.145
