Powder Type,Code,Whey type,Process,Protein (%),NSI (%),Heat Treatment
Concentrate,C1,Acid,UF,35,68,Pasteurised
Concentrate,C2,Cheese,UF,35,83,Pasteurised
Concentrate,C3,Cheese,UF,35,93,Pasteurised
Concentrate,C4,Cheese,UF,35,87,Pasteurised
Concentrate,C5,Cheese,UF,35,93,Pasteurised
Concentrate,C6,Cheese,UF,80,NA,Unknown
Concentrate,C7,Cheese,UF,80,NA,Unknown
Concentrate,C8,Cheese,UF,80,NA,Unknown
Concentrate,C9,Cheese,Unknown,80,NA,Unknown
Concentrate,C10,Acid,UF,80,NA,Pasteurised
Concentrate,C11,Cheese,UF,80,NA,Pasteurised
Concentrate,C12,Cheese,UF,80,NA,Unknown
Concentrate,C13,Acid,UF,80,NA,Pasteurised
Isolate,I1,Cheese,UF+MF,90,NA,Unknown
Isolate,I2,Cheese,Unknown,90,NA,Unknown
Isolate,I3,Cheese,UF+MF,90,NA.,Unknown
Isolate,I4,Cheese,Unknown,90,NA,Unknown
Isolate,I5,Cheese,Unknown,90,NA,Unknown
Isolate,I6,Unknown,Unknown,90,NA,Unknown
Isolate,I7,Cheese,Unknown,90,NA,Unknown
Demineralised,D1,Cheese,Unknown,13,72,Pasteurised
Demineralised,D2,Cheese,Unknown,13,65,Pasteurised
Demineralised,D3,Cheese,IEX/NF/SF,13,82,Pasteurised
Demineralised,D4,Cheese,IEX/ED/NF,13,58,Pasteurised
Demineralised,D5,Cheese,IEX/NF,13,66,Pasteurised
Demineralised,D6,Cheese,ED/IEX,13,70,Pasteurised
Demineralised,D7,Cheese,ED/IEX,13,81,Pasteurised
Demineralised,D8,Cheese,ED/IEX/SF,13,74,Pasteurised
Demineralised,D9,Cheese,IEX,13,80,Pasteurised
