miRNAs,Treatment regimen,Expression,Ref.
miR-21,5-FU,High,[             46            ]
miR-214,5-Fu,Low,[             148            ]
miR-143,Oxaliplatin,Low,[             149            ]
miR-126,oxaliplatin,Low,[             150            ]
miR-10b,5-Fu,High,[             151            ]
miR-519c,5-FU,Low,[             152            ]
miR-129,5-Fu,High,[             153            ]
miR-625-3p,oxaliplatin,High,[             154            ]
miR-148a,5-FU,Low,[             155            ]
"miR-106a, miR-130b, miR-484","5-FU, oxaliplatin",High,[             156            ]
miR-143,Oxaliplatin,Low,[             157            ]
"miR-215, miR-190b, miR-29b-2",5-FU,High,[             158            ]
miR-625-3p,Oxaliplatin,High,[             154            ]
miR-320e,"5-FU, oxaliplatin",High,[             159            ]
miR-150,5-FU,Low,[             68            ]
miR-143,5-Fu,Low,[             160            ]
miR-203,Oxaliplatin,High,[             161            ]
miR-494,5-Fu,Low,[             68            ]
miR-1914,oxaliplatin,Low,[             162            ]
miR-34a,5-Fu,Low,[             69            ]
