Variable,Mean,Median,STD,Min,Max,25 Percentile,75 Percentile
CGQ,3.71,4.00,1.65,0.00,7.00,3.00,5.00
BQ,1.91,2.00,0.91,0.00,4.00,1.00,3.00
ACQ,1.80,2.00,0.98,0.00,4.00,1.00,2.00
BIND,0.80,0.86,0.24,0.00,1.00,0.67,1.00
BEXP,0.33,0.30,0.27,0.00,1.00,0.13,0.50
BSZ,7.05,7.00,1.59,3.00,13.00,6.00,8.00
BMT,5.68,5.00,1.95,0.00,17.00,5.00,6.00
ACIND,0.88,1.00,0.23,0.00,1.00,0.75,1.00
ACACEXP,0.22,0.25,0.23,0.00,1.00,0.00,0.33
ACSZ,3.34,3.00,0.68,0.00,6.00,3.00,4.00
ACMT,4.77,5.00,1.47,0.00,11.00,4.00,5.00
