Design file name,File type,Open source license,Location of the file
FAST Pump.f3d,CAD,GNU GPL v3.,https://osf.io/3r7h4/
Jig.f3d,CAD,GNU GPL v3.,https://osf.io/3r7h4/
Base.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Lid 1.2 mm.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Lid 1.3 mm.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Lid 1.4 mm.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Shaft.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Jig body.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
Jig lid.stl,STL,GNU GPL v3.,https://osf.io/3r7h4/
FAST Pump.form,3D-Print,GNU GPL v3.,https://osf.io/3r7h4/
Drive Program.prg,Program,GNU GPL v3.,https://osf.io/3r7h4/
