Complex,1,5               c,7,10,11,12,13               c
Bond lengths,,,,,,,
M−C             carb,2.082(3),"2.075(3), 2.070(3)",2.063(2),2.051(2),2.200(6),2.232(8),"2.21(1) , 2.24(1)"
C             carb            −OEt/NMe             2,1.336(3),"1.323(4), 1.326(3)",1.331(3),1.332(3),1.341(8),1.31(1),"1.34(2) , 1.28(2)"
M−CO               trans to CO                a,1.901(2),"1.900(3), 1.900(3)",1.897(2),1.896(3),2.039(8),2.039(9),"2.04(2) , 2.03(2)"
M−CO               trans to Ccarb,1.870(4),"1.863(3), 1.881(3)",1.860(2),1.879(3),2.022(8),2.00(1),"2.04(2) , 2.01(2)"
M−CO               trans to CNEt,,,1.875(2),,,,
M−CNEt,,,1.996(2),,,,
C             carb            −C5,1.444(3),"1.457(3), 1.448(4)",1.459(2),1.462(3),1.450(9),1.50(1),"1.50(1), 1.52(1)"
C2−C3,1.396(4),"1.385(4), 1.381(3)",1.389(3),1.388(3),1.37(1),1.39(1),"1.40(2), 1.39(2)"
C3−C4,1.405(3),"1.406(3), 1.405(4)",1.412(2),1.411(3),1.409(9),1.43(1),"1.44(2), 1.44(2)"
C4−C5,1.385(3),"1.367(4), 1.372(3)",1.376(3),1.379(3),1.39(1),1.36(1),"1.34(2), 1.35(1)"
S−C2,1.712(2),"1.711(2), 1.701(2)",1.704(2),1.706(2),1.704(8),1.72(1),"1.70(2), 1.73(1)"
S−C5,1.744(3),"1.767(3), 1.764(3)",1.766(2),1.766(2),1.757(6),1.750(9),"1.76(1), 1.76(1)"
Bond angles,,,,,,,
M−C             carb            −O/N,129.0(2),"130.5(2), 129.2(2)",129.5(1),128.4(2),128.5(5),131.1(6),"130.9(9), 131.8(9)"
M−C             carb            −C5,126.0(2),"123.4(2), 125.1(2)",125.5(1),126.2(1),126.2(5),116.4(5),"117.2(8), 114.1(8)"
O/N−C             carb            −C5,105.0(2),"106.1(2), 105.6(2)",105.0(2),105.4(2),105.3(5),112.5(7),"112(1), 114(1)"
Torsion angles,,,,,,,
M−C             carb            −C5−C4,-2.9(4),"-6.5(4), 12.7(4)",-0.3(3),2.0(3),-4(1),88(1),"80(1), -80(1)"
O/N−C             carb            −C5−C4,176.8(3),"175.5(2), -170.1(2)",180.0(2),-178.1(2),177.5(7),-91(1),"-100(2), 104(2)"
Angle between two mean planes               b,2.38,"7.39, 8.87",0.79,1.65,3.61,88.75,"81.52, 79.86"
