Sample* (% of lipid content),Bezafibrate (ng g             -1            ),Caffeine (ng g             -1            ),Carbamazepine (ng g             -1            ),Clarithromycin (ng g             -1            ),Diltiazem (ng g             -1            ),Ketoprofen (ng g             -1            ),Furazolidone (ng g             -1            ),Sulfapyridine (ng g             -1            ),Trimethoprim (ng g             -1            ),Verapamil (ng g             -1            )
Barbus barbus (7 - 36 %),ND,ND,<LOQ - 5.3,<LOQ,<LOQ - 17,ND,ND,ND,ND,<LOQ
Cottus gobio (10 %),ND,ND,ND,<LOQ,11,ND,ND,ND,ND,<LOQ
Sox Lucius (3 %),<LOQ,ND,ND,ND,10,ND,ND,ND,ND,<LOQ
Onchorhynchus mykiss               (31 %),ND,69,<LOQ,ND,5.7,ND,ND,ND,ND,<LOQ
Salmo trutta fario               (4 - 17 %),ND,7.8 - 19,<LOQ,<LOQ,<LOQ - 7.2,ND,ND,6.0 - 7.9,<LOQ,<LOQ
Salmo trutta marmoratus            (4.2 - 5.4 %),ND,25,ND,<LOQ,3.0  - 7.2,ND,49,ND,ND,<LOQ
Sander lucioperca (2 %),ND,<LOQ,<LOQ,<LOQ,<LOQ,ND,ND,ND,ND,<LOQ
Squalius cephalus            (4.6 - 27 %),<LOQ,15 - 32,<LOQ −13,<LOQ,12 - 34,<LOQ,ND,ND,ND,<LOQ - 35
Squalius keadicus               (2 - 24 %),ND,ND,ND,ND,<LOQ −13,ND,ND,ND,ND,<LOQ
Thymallus thymallus             (4.7 – 5.2 %),ND,4.6,ND,<LOQ,3.2 – 6.9,ND,ND,ND,ND,<LOQ
