Variables,Japan(n=500),Taiwan(n=333),Indonesia(n=517)
Gender (%),,,
Female,85.0%,74.8%,98.0%
Age,,,
Age in median value,48.0,38.0,28.8
Education Level (%),,,
Junior high-school or below,2.0%,1.8%,0.2%
High school,25.0%,4.5%,12.4%
Vocational school,14.0%,18.0%,6.4%
University,56.0%,55.9%,81.0%
Graduate school or above,3.0%,19.8%,0.0%
Number of people in household (%),,,
1 – 2 people,48.0%,16.5%,20.0%
3 – 4 people,47.2%,52.9%,55.0%
5 people and above,4.8%,30.6%,25.0%
Income (%),,,
"Income level 1            -Japan: US$ 27,900 or below-Taiwan: US$ 10,030 or below-Indonesia: US$ 1,165 or below",14.6%,11.4%,11.0%
"Income level 2            -Japan: US$ 27,901 – 46,500-Taiwan: US$ 10,031 – 20,060-Indonesia: US$ 1,166 – 2,330",25.0%,38.4%,19.0%
"Income level 3            -Japan: US$ 46,501 – 65,100-Taiwan: US$ 20,061 – 30,091-Indonesia: US$ 2,331 – 3,496",22.0%,21.3%,21.0%
"Income level 4            -Japan: US$ 65,101 – 93,000-Taiwan: US$ 30,092 – 40,121-Indonesia: US$ 3,497 – 4,661",21.4%,19.2%,19.0%
"Income level 5            -Japan: US$ 93,001 – 139,500-Taiwan: US$ 40,122 – 50,151-Indonesia: US$ 4,662 – 5,826",12.6%,4.3%,8.0%
"Income level 6            -Japan: US$ 139,501 or above-Taiwan: US$ 50,152 or above-Indonesia: US$ 5,827 or above",3.9%,5.4%,22.0%
