FAME,Retention time (min),Abundance (%),Molecular formula,Molecular weight,Component of Rhamnolipid
C             8:2,5.27,0.62,C             9            H             14            O             3,170.20,Rha-C             8:2
C             8:0,5.53,8.42,C             9            H             18            O             3,174.23,"Rha-C             8            -C             10            , Rha             2            -C             8            -C             10            , Rha             2            -C             8            -C             10:1"
C             9:2,5.78,2.78,C             10            H             16            O             3,184.23,Rha-C             9:2
C             10:2,5.99,0.11,C             11            H             18            O             3,198.26,Rha-C             10:2
C             10:1,6.03,1.63,C             11            H             20            O             3,200.27,"Rha-C             10:1            , Rha             2            -C             8            -C             10:1"
C             10,6.48,44.90,C             11            H             22            O             3,202.29,"Rha-C             8            -C             10            , Rha-C             10            -C             12:2            , Rha             2            -C             10            , Rha             2            -C             8            -C             10            , Rha             2            -C             10            -C             10"
C             12:2,7.45,3.65,C             13            H             22            O             3,226.31,"Rha-C             12:2            , Rha-C             10            -C             12:2            , Rha             2            -C             12            -C             12:2"
C             12:0,7.52,5.73,C             13            H             26            O             3,230.34,"Rha-C             12            -C             12            , Rha-C             12            -C             14:1            , Rha-C             12            -C             14            , Rha             2            -C             12            , Rha             2            -C             12            -C             12:2"
C             14:2,7.59,0.09,C             15            H             26            O             3,254.36,Rha-C             14:2
C             14:1,7.63,0.15,C             15            H             28            O             3,256.38,Rha-C             12            -C             14:1
C             14:0,7.68,8.18,C             15            H             30            O             3,258.40,Rha-C             12            -C             14
