"
Menstrual cycle day","Progesterone (nmol/l)
mean","Progesterone (nmol/l)
SD","Allopregnanolone (nmol/l)
mean","Allopregnanolone (nmol/l)
SD"
1,4.49,3.36,0.87,0.36
2,3.00,1.70,0.73,0.29
3,2.18,0.78,0.79,0.34
4,2.23,0.86,0.77,0.23
5,2.55,2.11,0.51,0.16
6,2.42,0.99,0.47,0.18
7,2.41,0.94,0.48,0.04
8,2.06,0.88,0.47,0.12
9,1.92,0.82,0.47,0.16
10,2.04,1.09,0.44,0.13
11,2.29,1.19,0.44,0.20
12,2.19,0.97,0.81,0.44
13,2.62,1.21,0.69,0.37
14,4.15,1.56,0.88,0.30
15,5.22,1.91,1.02,0.35
16,12.33,5.33,1.30,0.73
17,21.03,7.04,1.44,0.45
18,30.31,11.75,1.64,0.49
19,34.55,12.27,1.80,0.66
20,41.68,16.43,1.83,0.69
21,42.95,17.64,1.87,0.68
22,40.82,15.74,1.96,0.64
23,41.79,17.47,1.96,0.71
24,36.10,15.88,1.87,0.68
25,27.06,12.48,1.68,0.71
26,21.17,12.47,1.39,0.62
27,13.59,7.48,1.14,0.46
28,7.25,5.35,1.12,0.49
