Plant species,Plant part used,Synthesized NPs,Size (nm),References
"Azadirachta indica, Emblica Officinalis",leaf,ZnO,"51, 16",
Pyrus pyrifolia,leaf,ZnO,45,
Ixora coccinea,leaf,ZnO,145.1,
Passiflora caerulea,Leaf,ZnO,200,
Bauhinia tomentosa,Leaf,ZnO,22–94,
Pandanus odorifer,leaf,ZnO,90,
Allium sativum,Skin,ZnO,7.77,
Psidium guajava,Leaf,TiO             2,32.58,
Cynodon dactylon,Leaf,TiO             2,13–34,
Glycosmis cochinchinensis,Leaf,TiO             2,45,
Cassia fistula,Leaf,TiO             2,200,
